run_id,condition_id,outer_fold,outer_test_subject,alpha,scenario,attack,malicious_count,method,fl_seed,model_seed,random_schedule_seed,early_stop_round,completed_training_rounds,loss,accuracy,balanced_accuracy,macro_f1,first_client_dropout_round,active_client_lifetime_75pct,active_client_lifetime_50pct,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_file_manifest_sha256,run_manifest_entries,class_00_f1,class_01_f1,class_02_f1,class_03_f1,class_04_f1,class_05_f1,class_06_f1,class_07_f1,class_08_f1,class_09_f1,class_10_f1,class_11_f1,energy_per_completed_round,completed_round_fraction,minimum_completed_round,common_horizon_round,initial_mean_residual_energy,common_horizon_macro_f1,common_horizon_mean_residual_energy,common_horizon_energy
348,58,3,105,0.1,labelflip_mu0p2,label_flip,6,arl_fl,456,884573031,1066517935,,100,1.372132606058252,0.4769814902705268,0.4484892737142266,0.3962646460759071,75.0,100,100,22,0.2427864681055841,0.0802644997430535,16.681930349919238,0.90315879789564,5375,B94EB850D022491FE9C99EC247FBA0ED4528C029535DB6306A9EFA32863F5A70,73D0A76CFFB05B1774341761A708BFADDBE2E3240A1D91603652CA31D8BC6DB9,11,0.4273291925465838,0.3475609756097561,0.0,0.967741935483871,0.0510204081632653,0.8726287262872628,0.7893175074183977,0.2810368349249659,0.4885496183206106,0.03125,0.4987405541561713,0.0,0.16681930349919238,1.0,100,100,0.838569694888414,0.3962646460759071,0.2427864681055841,16.681930349919238
349,59,3,105,0.1,labelflip_mu0p4,label_flip,11,fedavg,123,1400829696,2129437073,,100,1.7679553297836743,0.3032747982914096,0.3202950299761984,0.2740436836025258,50.0,75,100,14,0.1793032400517513,0.06882194151517,17.684153011839697,0.9524603240746252,5590,4FC49AB94BD71F701F1A6748C1AB4575460E38C31454FEF920E6A9A9B3776311,0ED46E9EB926C6ECE58EF1AC84CB774509F8E4689B18856584F393C0B8AD3FD3,11,0.0,0.0562770562770562,0.3347732181425486,0.7864077669902912,0.0284090909090909,0.4561403508771929,0.326797385620915,0.5493562231759657,0.7437185929648241,0.0,0.0066445182724252,0.0,0.17684153011839698,1.0,100,100,0.8108801333317406,0.2740436836025258,0.1793032400517513,17.684153011839697
350,59,3,105,0.1,labelflip_mu0p4,label_flip,11,fedprox,123,1400829696,2129437073,,100,1.624828276500693,0.3749406739439962,0.3807548729411042,0.3158316049967719,50.0,75,100,14,0.1793032400517513,0.06882194151517,17.684153011839697,0.9524603240746252,5590,34CEF37EF9D87814EF7067959FC3647F9F7C9E670983ADA42D73F332DD523AD3,FD4520C8CBA9484E935A704615981491F9B564E5EA70340C679781E8928983BC,11,0.0,0.0542797494780793,0.3615819209039548,0.863013698630137,0.05,0.5526315789473685,0.5384615384615384,0.6196078431372549,0.7380952380952381,0.0,0.0123076923076923,0.0,0.17684153011839698,1.0,100,100,0.8108801333317406,0.3158316049967719,0.1793032400517513,17.684153011839697
351,59,3,105,0.1,labelflip_mu0p4,label_flip,11,random_trimmed_mean,123,1400829696,2129437073,,100,2.086930757345155,0.3046986236355007,0.2915650114331934,0.2089609481850667,50.0,75,100,14,0.1793032400517513,0.06882194151517,17.684153011839697,0.9524603240746252,5590,BA30BF13FC43D474EF22B24E74A8953FE2A72C31152F764A6573A1A0D02198FE,1B5F3D15FB7C9932B69E11F80743F294A2A6C8A9A2C325101ABDFBB3BCA94E52,11,0.0,0.019047619047619,0.32,0.311864406779661,0.0376175548589341,0.4479418886198547,0.8109243697478992,0.096551724137931,0.4,0.0,0.0635838150289017,0.0,0.17684153011839698,1.0,100,100,0.8108801333317406,0.2089609481850667,0.1793032400517513,17.684153011839697
352,59,3,105,0.1,labelflip_mu0p4,label_flip,11,fedle_adapted,123,1400829696,2129437073,,100,2.927299299792311,0.2358803986710963,0.2424111444804584,0.1671896894121549,50.0,95,100,15,0.1673920763924799,0.0662858119845795,18.01766559429929,0.9212132378342276,5670,B8C75763C6217E9582FDF96FAF35C40E31F142ADF91D4800C0D2E9EE05850DAA,B485D83C9A1386CFD41E0D46921052C72168B65C52919EC0E3F37B47AE3BE16D,15,0.0,0.5490753911806543,0.0,0.0060975609756097,0.0,0.5989304812834224,0.0,0.096,0.5833333333333334,0.0,0.1728395061728395,0.0,0.18017665594299292,1.0,100,100,0.7884009687323772,0.1671896894121549,0.1673920763924799,17.388248985517123
353,59,3,105,0.1,labelflip_mu0p4,label_flip,11,tea_fl,123,1400829696,2129437073,,100,3.51968741020887,0.2349311817750356,0.2439406699311,0.166716392332696,60.0,85,100,17,0.2716164405881255,0.0880570403784249,15.099383396821215,0.686771914462558,4617,A27C2467C000EB04247E1F1BFCE2687B0A9985738B1928DEBA960E32CAC7FD5E,C199E11D87D86BF60B23EC50F160B5BF2AAB630835B9E25B3180515F98B21A1B,11,0.0,0.4705882352941176,0.4066115702479339,0.0,0.0,0.7637540453074434,0.0,0.0025,0.3571428571428571,0.0,0.0,0.0,0.15099383396821214,1.0,100,100,0.8108801333317406,0.166716392332696,0.2716164405881255,15.099383396821223
354,59,3,105,0.1,labelflip_mu0p4,label_flip,11,arl_fl,123,1400829696,2129437073,,100,2.1216615562366545,0.1741813004271476,0.1947441692630544,0.1049288427711041,70.0,95,100,18,0.192750200247594,0.0607858119845803,17.307638126356103,0.8969917140390415,5380,A7AF22766CBB868807B7B39D6D659D9D8E2466D6C7E9983ACBFC957FDADF0A80,42B4A278002D254F40B203842F8D0DC92B1DAE99FD818022E45A4A2E5989EDEC,11,0.0,0.0,0.1661631419939577,0.1478873239436619,0.0493827160493827,0.631578947368421,0.0,0.1739879414298019,0.0404040404040404,0.0105263157894736,0.0392156862745098,0.0,0.17307638126356104,1.0,100,100,0.8108801333317406,0.1049288427711041,0.192750200247594,17.307638126356103
355,60,3,105,0.1,labelflip_mu0p4,label_flip,11,fedavg,456,884573031,1066517935,,100,1.960659040225644,0.3564309444708116,0.3544261229632797,0.2721327424223847,60.0,95,100,16,0.2136552532364819,0.0713227180906889,17.497604366254098,0.9543692215926036,5718,04FA3E922360E671A67B5ECE3FCC27E3429B50D4818A1F99286EE27E815049C0,606D697821B88AB16ACB43352D4A91E4BE89454C0804153B9BEFCCB801FCDAF5,11,0.6010928961748634,0.1984126984126984,0.4842767295597484,0.2064056939501779,0.0,0.7138047138047138,0.0,0.320785597381342,0.1304347826086956,0.0085106382978723,0.6018691588785047,0.0,0.174976043662541,1.0,100,100,0.838569694888414,0.2721327424223847,0.2136552532364819,17.497604366254098
356,60,3,105,0.1,labelflip_mu0p4,label_flip,11,fedprox,456,884573031,1066517935,,100,1.6040979497626204,0.4470811580446132,0.4323855055302517,0.3778985031074759,60.0,95,100,16,0.2136552532364819,0.0713227180906889,17.497604366254098,0.9543692215926036,5718,92A9238B8EDB768058D530E2DB356C01A3D0C10EC94A0F23B9ED654D8437B0D0,E75F0C3CC13AAE5083BABA438AB1BB7570CDAE4749CE9B2D7C1CDE82A7225DA1,11,0.5480769230769231,0.0,0.4864864864864865,0.5074626865671642,0.0,0.7987421383647799,0.7407407407407407,0.3829787234042553,0.2340425531914893,0.1976284584980237,0.638623326959847,0.0,0.174976043662541,1.0,100,100,0.838569694888414,0.3778985031074759,0.2136552532364819,17.497604366254098
357,60,3,105,0.1,labelflip_mu0p4,label_flip,11,random_trimmed_mean,456,884573031,1066517935,,100,2.1940225430105214,0.1271950640721404,0.1212095147443478,0.0997176138648206,60.0,95,100,16,0.2136552532364819,0.0713227180906889,17.497604366254098,0.9543692215926036,5718,5B618CFF39B1CB1DC575DAB7A3A2A9C8B25B546BC1B1F28728A773C1379C6D21,A107FAFDA369A28BF2927E38D19BBB2D023F81B8D93B8020C7EB223EE9F44F37,11,0.0,0.3027027027027027,0.0357142857142857,0.0,0.0264650283553875,0.3949579831932773,0.0,0.2790697674418604,0.0865800865800865,0.0485651214128035,0.0225563909774436,0.0,0.174976043662541,1.0,100,100,0.838569694888414,0.0997176138648206,0.2136552532364819,17.497604366254098
358,60,3,105,0.1,labelflip_mu0p4,label_flip,11,fedle_adapted,456,884573031,1066517935,,100,2.3434481061800545,0.3678215472235406,0.3669056857344919,0.2801016669044002,75.0,100,100,20,0.2083467838940928,0.0733736089440225,17.646241507840994,0.9097732390201744,5701,1BEDACFEE00BCE4F10FDBA5F65D21AD449180D6668AA80A057285FAC64AD8453,CC324F92E15ED83169E1AEA735E48A38B4BE7EC541D4AD238942AFEC992A308C,15,0.8674698795180723,0.0266666666666666,0.3990442054958183,0.5294117647058824,0.0,0.5868465430016864,0.0,0.2574772431729519,0.0,0.358974358974359,0.3353293413173652,0.0,0.17646241507840993,1.0,100,100,0.8170361119427944,0.2801016669044002,0.2083467838940928,17.043301185363646
359,60,3,105,0.1,labelflip_mu0p4,label_flip,11,tea_fl,456,884573031,1066517935,,100,1.7923784744813085,0.4950166112956811,0.455353044401991,0.3992354641701626,60.0,95,100,18,0.3278553546885798,0.085799622423666,14.30000152559536,0.6221323586593047,4483,756B9BCFD7AC37821F62C415422B5A1A27F4B82DD423AAA4E721E889ECE2D9A8,039EDE1AB2BA178C93BF380316179A05631C5FD6B1F25A298BACA428EF430821,11,0.7044025157232704,0.0,0.1414141414141414,0.0,0.7669902912621359,0.7207792207792207,0.5788712011577424,0.4523809523809524,0.4779874213836478,0.3526170798898072,0.5953827460510328,0.0,0.1430000152559536,1.0,100,100,0.838569694888414,0.3992354641701626,0.3278553546885798,14.300001525595357
360,60,3,105,0.1,labelflip_mu0p4,label_flip,11,arl_fl,456,884573031,1066517935,,100,1.9881703576376275,0.3763644992880873,0.3361738688542905,0.2470572080438811,75.0,100,100,22,0.2378185695431932,0.0802644997430536,16.821031509666184,0.9063101846607,5418,77004C04F2337F88B6FFA56FAEB88E6336A819C39562E596D83C8D5035AB0181,808D02D3A9F63869E785A61CCD32BDE8582109C2BEFA7B501D43843C6E3527EB,11,0.0,0.4741784037558685,0.0,0.9006622516556292,0.0,0.3902439024390244,0.0,0.2188365650969529,0.0,0.5289747399702823,0.4517906336088154,0.0,0.16821031509666184,1.0,100,100,0.838569694888414,0.2470572080438811,0.2378185695431932,16.821031509666184
361,61,4,106,1.0,clean,none,0,fedavg,123,213424618,686063111,,100,0.5036427072421356,0.8282462493533368,0.7618572747096116,0.7643016103741238,80.0,100,100,23,0.2371750735367968,0.083990923643748,17.3821354857643,0.9910311679302314,6013,E1C5B24A9C1B898016C0499016BDBDB90C8DAA830910C0E11CD535FC5D54141A,09AFEEBA6EA4396841083CC65E941A101BB6BAF3207623899B3BB30A9C1943C1,11,0.9318181818181818,0.5582655826558266,0.4656862745098039,0.9821882951653944,0.9623188405797102,0.9440993788819876,0.971291866028708,0.8877551020408163,0.8383233532934131,0.7816091954022989,0.8482632541133455,0.0,0.17382135485764302,1.0,100,100,0.8579656265998077,0.7643016103741238,0.2371750735367968,17.382135485764305
362,61,4,106,1.0,clean,none,0,fedprox,123,213424618,686063111,,100,0.5162727654219229,0.8210036213140196,0.7542199303183871,0.7555556205230114,80.0,100,100,23,0.2371750735367968,0.083990923643748,17.3821354857643,0.9910311679302314,6013,D646BD01759EC1672F68B118E48101224E9C8D154F6E22F3410F8E23EC4E136D,5CFB98590412646C4D604409FCBD0DAC273D765B5F2D733263B1ABC7E464E534,11,0.9041095890410958,0.5412371134020618,0.4331550802139037,0.9794871794871794,0.9501466275659824,0.926829268292683,0.962085308056872,0.8775510204081632,0.8484848484848485,0.7859237536656891,0.8576576576576577,0.0,0.17382135485764302,1.0,100,100,0.8579656265998077,0.7555556205230114,0.2371750735367968,17.382135485764305
363,61,4,106,1.0,clean,none,0,random_trimmed_mean,123,213424618,686063111,,100,0.5065733117841096,0.8225556130367304,0.754934901961664,0.756177024421004,80.0,100,100,23,0.2371750735367968,0.083990923643748,17.3821354857643,0.9910311679302314,6013,BBA5B1AE652DEAC51AF971165E2BE17F6AC3BDF2C3A76BDE597EE34FCDCCE3C5,2D178F7C7959A413E7E452337A73C7628D5B69F7CB38F211B02BFA0AE2ABB132,11,0.8975069252077562,0.5352798053527981,0.3895348837209302,0.9689119170984456,0.967930029154519,0.9202453987730062,0.973621103117506,0.87,0.8674698795180723,0.8220858895705522,0.8615384615384616,0.0,0.17382135485764302,1.0,100,100,0.8579656265998077,0.756177024421004,0.2371750735367968,17.382135485764305
364,61,4,106,1.0,clean,none,0,fedle_adapted,123,213424618,686063111,,100,0.6116113427253628,0.7723745473357475,0.7243159075894812,0.699650753466505,80.0,100,100,21,0.2380552754954151,0.0827338390358747,17.357489830922987,0.917810105089257,5991,4D0177D1ED5C8583C12272BA4B31A8ED12826972B29BC17332DCC3ADA5F28ADA,AD11067D73CA1DA848451C7AB36DE8F0195A7EC9940F8BA72033F06A85B9E87B,15,0.9005524861878453,0.0,0.5511551155115512,0.979591836734694,0.9649122807017544,0.9235668789808916,0.964200477326969,0.9035532994923858,0.8674698795180723,0.6555819477434679,0.6852248394004282,0.0,0.17357489830922987,1.0,100,100,0.8378355224260491,0.699650753466505,0.2380552754954151,16.79384691405775
