alpha,method_id,scenario_id,n,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_loss_mean,test_loss_std,test_loss_min,test_loss_max,best_round_mean
1.0,FEDLE_ADAPTED,CLEAN,5,0.965528702717,0.000964367940,0.964010182122,0.966570697686,0.615564704473,0.013139008034,0.593987820806,0.627930285587,0.596113576256,0.012687473591,0.578002757220,0.612634925154,0.099756673347,0.004352410379,0.095004486392,0.105104909537,17.600000000000
1.0,FEDLE_ADAPTED,SIGNFLIP_MU0P2,5,0.961915557609,0.000607482800,0.961264044890,0.962700679259,0.549785710580,0.009854006760,0.538868867788,0.563586313383,0.546908341347,0.013328019359,0.531525084369,0.565794242480,0.111929367749,0.004669956996,0.108727867332,0.119413785401,4.400000000000
1.0,FEDLE_ADAPTED,SIGNFLIP_MU0P4,5,0.961776051324,0.000543936935,0.961264044890,0.962700679259,0.549211877668,0.009714961295,0.538868867788,0.563586313383,0.547405747967,0.013476326161,0.531525084369,0.565794242480,0.110028967300,0.005630244856,0.104146255971,0.119413785401,3.800000000000
1.0,FEDPROX,CLEAN,5,0.965611072333,0.001021960576,0.964612485764,0.966866532220,0.618973071455,0.005913928660,0.609223450212,0.624458834371,0.602357760987,0.009104384466,0.586789458869,0.608932247907,0.096529270228,0.003596426301,0.091649736392,0.101698631120,19.000000000000
1.0,FEDPROX,SIGNFLIP_MU0P2,5,0.945927731297,0.002764151183,0.942141145943,0.949460150315,0.531527727593,0.010011020668,0.519270721738,0.544002269285,0.534498557782,0.011727923362,0.518276797994,0.549740704788,0.140772990240,0.009476466468,0.132928484991,0.157101446117,6.600000000000
1.0,FEDPROX,SIGNFLIP_MU0P4,5,0.947777373879,0.002690138729,0.944445948324,0.951389358851,0.530628658764,0.009453348867,0.519270721738,0.544002269285,0.533022653112,0.011862538194,0.518276797994,0.549740704788,0.135964971424,0.003019906233,0.132928484991,0.140075713289,4.000000000000
1.0,RANDOM_TRIMMED_MEAN,CLEAN,5,0.965662988393,0.001105933837,0.964076406519,0.966667859028,0.614037439454,0.020648956034,0.577317967803,0.625949129744,0.598215883390,0.018743957098,0.566199544606,0.611458956162,0.099455073579,0.003723819903,0.095611054518,0.105175632291,18.400000000000
1.0,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,5,0.964164866845,0.001082250896,0.962361339647,0.965189169749,0.580675285474,0.017393074141,0.566043262144,0.608791508728,0.578284697782,0.008510066170,0.568487308427,0.590701736923,0.101157555487,0.004034929107,0.095797170487,0.105641288751,15.400000000000
1.0,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,5,0.960751941777,0.003547370452,0.954709279730,0.963446549661,0.549054152530,0.013658362487,0.535632387809,0.565056565563,0.547460359061,0.015534322141,0.531393562812,0.565688850890,0.108987957232,0.003209504003,0.105342088544,0.113947353049,4.400000000000
1.0,TEA_FL,CLEAN,5,0.963967353789,0.001563376524,0.962156382388,0.966178185200,0.598817689060,0.024479247349,0.564508484978,0.619966958144,0.583647231591,0.019414002298,0.560851433505,0.605155794901,0.103570420860,0.003502572460,0.098691565558,0.107325031655,16.600000000000
