run_index,run_directory,config_id,alpha,experimental_seed,method_id,scenario_id,runner_generation,runner_sha256,build_binding_sha256,best_round,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,test_loss,test_accuracy,test_macro_f1,test_balanced_accuracy,scientific_optimizer_steps,run_result_binding_sha256,run_state_status
23,run_023__alpha_0p1_seed_42__FEDPROX__SIGNFLIP_MU0P2,alpha_0p1_seed_42,0.1,42,FEDPROX,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,9,1.140656505907,0.776172171832,0.153300874882,0.171308841137,1.140740814968,0.776153803021,0.153201468586,0.171198294818,36000,6F41CED96B129B949B7C4D0CDDA732C91A2D738E26D8AE43D43774B93A272C52,IN_PROGRESS
24,run_024__alpha_0p1_seed_42__FEDPROX__SIGNFLIP_MU0P4,alpha_0p1_seed_42,0.1,42,FEDPROX,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,0.846148017259,0.771807162289,0.124458426840,0.142857142857,0.846209723959,0.771807162289,0.124458426840,0.142857142857,36000,812EBA838763DD9B950F78D64DCBA23653A9C04224AFDFD584D924FE23D3C953,IN_PROGRESS
25,run_025__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__CLEAN,alpha_0p1_seed_42,0.1,42,RANDOM_TRIMMED_MEAN,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,11,1.069769105951,0.880039096564,0.315550452982,0.373287989835,1.069928873184,0.879876194214,0.315410432014,0.373139509632,36000,F5515072E2D93810E6E588F92541D06AFAAECD1995B357795CEFC0DEDDDD27C1,IN_PROGRESS
26,run_026__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2,alpha_0p1_seed_42,0.1,42,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,14,0.456570248659,0.861301942647,0.311702878125,0.400915536812,0.456650349451,0.861380735178,0.311667590437,0.400731183152,36000,142BC67EC1435B9A8E37226AC1C2816564E17A8C348637E62EBC795F6E00553E,IN_PROGRESS
27,run_027__alpha_0p1_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4,alpha_0p1_seed_42,0.1,42,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.735003840771,0.771807162289,0.124458426840,0.142857142857,1.735129697764,0.771807162289,0.124458426840,0.142857142857,36000,D02FFBD7A18CA573C0DF22E002CDA0DCD76DF6698D4B98C61CD80AFBCF96581A,IN_PROGRESS
28,run_028__alpha_0p1_seed_42__FEDLE_ADAPTED__CLEAN,alpha_0p1_seed_42,0.1,42,FEDLE_ADAPTED,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,11,0.927383048816,0.878588443891,0.311878161539,0.361573639135,0.927685352712,0.878397021546,0.311662533561,0.361190804434,36000,03B5FDC58DBEC578AFCE7A039FBF51D86969D203C0503014EB008B13EBFD5E85,IN_PROGRESS
29,run_029__alpha_0p1_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P2,alpha_0p1_seed_42,0.1,42,FEDLE_ADAPTED,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,19,7.130737152946,0.771808129069,0.124471233204,0.142863444451,7.130281663764,0.771807162289,0.124458630571,0.142857142857,36000,505F3F2FFA4DF9DF20B660D67AAD0CE834E13D146A6924F758CCD023AE5EA2F0,IN_PROGRESS
30,run_030__alpha_0p1_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P4,alpha_0p1_seed_42,0.1,42,FEDLE_ADAPTED,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.141934579031,0.771807162289,0.124458426840,0.142857142857,1.142047224294,0.771807162289,0.124458426840,0.142857142857,36000,F2EB3CCC25F38612CE25011D2726E35B7D4A07FE5F12CED71D9584438D3A490C,IN_PROGRESS
31,run_031__alpha_0p1_seed_42__TEA_FL__CLEAN,alpha_0p1_seed_42,0.1,42,TEA_FL,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,14,1.524010330223,0.826857038445,0.226108518357,0.212727116124,1.525024590586,0.826801448622,0.226075826781,0.212677838986,36000,F8095372C1791056FDEA4088D4324E90CE53250FB0DEEB6535280A72168885AC,IN_PROGRESS
32,run_032__alpha_0p1_seed_42__TEA_FL__SIGNFLIP_MU0P2,alpha_0p1_seed_42,0.1,42,TEA_FL,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,15,0.580211035923,0.867842206114,0.313435613824,0.396584243909,0.580560427314,0.867936950507,0.313438782210,0.396461054530,36000,0725FB77EE5D25E6C2B25E42373CDBF8AE3425B974D3CDCB816FFB2D8D9BC385,IN_PROGRESS
