ablation_run_id,reference_run_id,outer_fold,alpha,scenario,method_family,variant,fl_seed,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256
37,551,5,0.1,clean,tea_fl,tea_trust_only,456,4436,081C268684BDC0075B700FB28F5446AC32AB6B7D68AC1B6961B6A2CBD9F1C755,C2BB513735E4B05EDBED39D34D4D9D1B806F4C6D231308B18DDCA62C68981943
38,551,5,0.1,clean,tea_fl,tea_energy_only,456,5174,5D66412748DD52A34A695FB51F242C37F123853C1D1527658C3408CCBCCB6103,5E1EC0A40F3AD635362933137FBD9D46B3794F9E9A57AE762A1D8EBCB9F15008
39,552,5,0.1,clean,arl_fl,arl_no_energy,456,5606,3C254F24CC680563AE7FA145367E7672DEF9DD5443F3ABCAE1B6F79B4716ECBF,37199FD583DB9DEA8375C926D0B54D60145E09DD7FE812C6B755CE9EA3B61F6E
40,552,5,0.1,clean,arl_fl,arl_no_pressure,456,5353,4734BEAE3F88BF24386A5B3F70854AFFAF4291C579CD1E93C7C0A7E64FF7A028,635D114F3C25170EE187F6CC981607AD3EE76744A42D6370197ABE18BAE2E214
41,53,1,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,123,5250,8FF8E7367A6053FADD1924FE00AA84087A5C1B5136ED238B6E9C6DD2B2B3278E,6E56377D5151739C3873E11B19D653B234C61A4A055767B952FE611225675F44
42,53,1,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,123,5644,DF8BA767549C740176D975AE4FF7E73ED23356F948ACEE1596ABBCA9AB002788,A505B3156552B069C5B531BF3C15C9852F3535ADB361DDA71DE2FCB16DE81F8C
43,54,1,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,123,5818,B09E748616DC6B33C0DEBCEFD4A4787FC9438FD028B7470FC917427739BFB778,A10685F5A70121A46FE87B799C8C1A02559A2D4E4EC89723F9DB2AA1C6069521
44,54,1,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,123,5662,68DE8F4E034E771376ACB094B22EA3FFB9BE41902102109F10DC5C671F336325,DFEFFCE4310A89585639788D3B79C52CBB72854B100A8415BB17ADFD08D27AD3
45,59,1,1.0,labelflip_mu0p4,tea_fl,tea_trust_only,456,5377,658276B1A7BE5E57EA2F6751B2AB7A05BE6D8AC6B35442FD35769C3F9DD54FFD,BD6A21938DC183E41FD8897909C495636C5F53273F08E9D7AECBB12BC478B53E
46,59,1,1.0,labelflip_mu0p4,tea_fl,tea_energy_only,456,5670,8BDC4AEB93B48752A0D89E01E6ADBD8D4A0C8816E52078D9E6BFC404B72AF90A,A796862B6E0727C15380759CDA432CC095195B6B398F811577564725B1280F21
47,60,1,1.0,labelflip_mu0p4,arl_fl,arl_no_energy,456,5844,6F2C031D9FD2ECCC486E83A56A15EAC12F3338A5B0B5EAA56651D66956332F2E,DA4CE551128782300976C84339CEE46E4884BEDC9DDAB8F2AFE7D6B250E5E8D5
48,60,1,1.0,labelflip_mu0p4,arl_fl,arl_no_pressure,456,5589,9D212D5CB0190B85983F41CCBF307BFADBCDA20434AE2F01FEF7228858132150,BFDADAD0F2A9C43083643285F636195F5D6C3606D8C5B548B440350E019F02C1
