ablation_run_id,reference_run_id,source_condition_id,outer_fold,alpha,scenario,method_family,variant,variant_label,component_isolated,fl_seed,early_stop_round,loss,accuracy,balanced_accuracy,macro_f1,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256,run_manifest_entries
25,425,71,4,0.1,clean,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,,1.3163286303832502,0.553026383859286,0.469686625746085,0.41274587858338235,18,0.3334140927409389,0.087348980006918,14.687442948048323,0.6670502205434792,4705,D850D2ED7ECFC9846AE1C7C042B47FF89862236F731F0A628CD0A2140BC5238A,CBC6BC677D043B7B99636E9D0CFB36934B188642A1B98B68E0BC24558CB58741,11
26,425,71,4,0.1,clean,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,,0.8021399705630784,0.7133988618727367,0.6769014383367162,0.6528891479896753,28,0.26381748434036506,0.20331383173572837,16.63614798326439,0.8881389049247302,5462,4E8E67926B1DB454B9003E108B62D862000C23E34E08C66E72B3EF0DB3299079,88D736C75242C89E7EB351A81477299EE47E9E537CBE296E9F103FEAF1CA3565,11
27,426,71,4,0.1,clean,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,,1.0284891491779933,0.718572167615106,0.6508095073626313,0.6246444365781084,21,0.24079852591407278,0.07196408567077173,17.280678819200574,0.9244173282028172,5683,DB0EAFACBB06EDFEDABF429002C8D3A9C19C7C19B15815EA23EF97237F5B9A73,A4A52F08F1B99B1857D3F765F9455996778767903F116E7FC69CF7CB578C063F,11
28,426,71,4,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,,0.85719314956073,0.7139161924469736,0.6630269773397086,0.6429783096097498,25,0.26096422978460915,0.07146408567077156,16.716039110825555,0.8749480499595337,5470,0DF7703C263EE78C9C00DD5B1FBBAEAFE421F684570913EDEEEFCC11868D6BC1,9A2378ABB739EBA83C4A6E0478CF3FEAC2D12DD3E9F94C18FD1A98C14A8A710F,11
29,431,72,4,0.1,clean,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,,1.3440729967374847,0.5059493016037248,0.4938045567572102,0.4421766283786505,17,0.32744364555807726,0.0853115630708696,14.405913394747417,0.6368666162480595,4730,63BD3A6684738C6F987AD6418E7BCDBAD3C70101673EED0899713F16AD4B271C,1D694C33C57FCDA2F2BCCAB063AA002F2A92B47A9DF3EE1AF84F3FBAC1D46380,11
30,431,72,4,0.1,clean,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,,0.766983772412644,0.7351267459906881,0.676943999516062,0.6586010958101495,28,0.26450945745033977,0.19700470508451523,16.168070661764066,0.8620782551536116,5338,AFA240300517BC5E0279491625CD0EEF1C32DFA94AC618EFEBB2702022BA3A0C,D1223AE262AC2A9FE4EB97B4325B758C76DBE71751E3E20911625CFFCDB1EDFF,11
31,432,72,4,0.1,clean,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,,1.4145186386821311,0.4981893429901707,0.5073248231942648,0.4221577451112837,20,0.2277314830673785,0.07930494827287107,17.19785394448698,0.9410878976096367,5693,E89EACCDE11EA703A48264CC521EB03EDB994BB96803449AEC329D7BFA0C6BD2,2863C25D82B2FFBF1B677AEC09E7AE4A9D06F89E8BF43F38EEC8C6E0F2079FB3,11
32,432,72,4,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,,1.2657973685538404,0.5638903259182617,0.5481093418974913,0.48247907668668044,23,0.24665126048905067,0.07724303152320003,16.66810017668016,0.8829242450997704,5500,9D6857DE48C8AFA05F3EE70921A1714CD58138A2A3643F78350806649687A2E9,C6DBF507B0A866ECBF7AE0685192C89B30D39636FF9ACF0EB70E5F94F81CCE14,11
33,545,91,5,0.1,clean,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,,1.2866146204384505,0.5893385982230998,0.5419590952230616,0.4806886234275834,20,0.38462305879860104,0.08616319703561515,13.308610286608426,0.5744155321959906,4306,C38430CE1824BB3FA1BC73B5ECA8D0B46934F8FF557C3A4D2C194E3976E3B337,D7207E1A86540AFAA1D2E153010C501AC737DB22F8F38DF654DE06FF98913443,11
34,545,91,5,0.1,clean,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,,1.1247713784710205,0.6525172754195459,0.6684773556556284,0.636246566247638,28,0.3092598332246186,0.25270757739503064,15.418780602679936,0.8359718695465898,5172,EBA61D35070F7DB90F9B35D560BCC92A943F4BE1EB824A87F56F745D35392209,6D788773C437E745CDDC70F2A8C759132AB0C44CC4413F978A024DF63DAA58E6,11
