method,macro_f1,balanced_accuracy,total_normalized_energy_consumed,final_mean_residual_energy,final_active_clients,jain_participation_fairness,macro_f1_benefit_norm,balanced_accuracy_benefit_norm,total_normalized_energy_consumed_benefit_norm,final_mean_residual_energy_benefit_norm,final_active_clients_benefit_norm,jain_participation_fairness_benefit_norm,pareto_macro_f1_energy,pareto_four_objective,score_effectiveness_energy,score_balanced_four_objective,alpha,scenario,method_label
arl_fl,0.01941733625319571,0.0907250623286448,16.63627709597189,0.25198952181861733,21.0,0.8636976208508088,0.02028469893844311,0.022312692223011226,0.4865565408439535,0.4865565408439534,1.0,0.6029931902958624,False,True,0.2534206198911983,0.5274586075195647,0.1,signflip_mu0p4,ARL-FL
fedavg,0.015319655462552251,0.0833333333333333,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.007436784214430946,0.0,0.10057125322151406,0.10057125322151385,0.37500000000000006,1.0,False,False,0.0540040187179725,0.3707520093589863,0.1,signflip_mu0p4,FedAvg
fedle_adapted,0.01294778668273536,0.0833333333333333,17.678964681695224,0.21475067947135545,19.6,0.9271706222170899,0.0,0.0,0.0,0.0,0.7812500000000002,0.865822665743766,False,True,0.0,0.41176816643594155,0.1,signflip_mu0p4,FedLE-adapted
fedprox,0.014761815816393681,0.0833333333333333,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.005687727474851926,0.0,0.10057125322151406,0.10057125322151385,0.37500000000000006,1.0,False,False,0.05312949034818299,0.3703147451740915,0.1,signflip_mu0p4,FedProx
random_trimmed_mean,0.02453959260473604,0.10502440174639813,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.03634507947110672,0.06547671509547814,0.10057125322151406,0.10057125322151385,0.37500000000000006,1.0,False,True,0.06845816634631038,0.3779790831731552,0.1,signflip_mu0p4,Random Trimmed Mean
tea_fl,0.33188520794262916,0.4146124511301701,15.53597101457743,0.29128616758270526,14.6,0.7180754925629416,1.0,1.0,1.0,1.0,0.0,0.0,True,True,1.0,0.5,0.1,signflip_mu0p4,TEA-FL
arl_fl,0.4647308426290236,0.5219395858169865,16.63684584748654,0.2519692092645228,21.2,0.870515752200334,0.5741437383846459,0.525203556661907,0.324195585159883,0.32419558515988406,1.0,0.7216341503974354,True,True,0.4491696617722645,0.6549933684854911,0.1,labelflip_mu0p2,ARL-FL
fedavg,0.5129528163018444,0.5559269261666284,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.8970105778069593,0.846413730216311,0.06704781062424714,0.067047810624247,0.0,1.0,False,False,0.4820291942156032,0.4910145971078016,0.1,labelflip_mu0p2,FedAvg
fedle_adapted,0.527517063733376,0.5721779333075527,17.678964681695224,0.21475067947135545,19.6,0.9271706222170899,0.9945244740379113,1.0,0.0,0.0,0.6190476190476195,0.8987174712392634,False,True,0.49726223701895567,0.6280723910811985,0.1,labelflip_mu0p2,FedLE-adapted
fedprox,0.528334864252194,0.5663290977895272,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,1.0,0.9447233748651965,0.06704781062424714,0.067047810624247,0.0,1.0,True,True,0.5335239053121236,0.5167619526560618,0.1,labelflip_mu0p2,FedProx
random_trimmed_mean,0.42076350747423963,0.4794713706679755,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.279763532473504,0.12384167843823111,0.06704781062424714,0.067047810624247,0.0,1.0,False,False,0.17340567154887557,0.33670283577443777,0.1,labelflip_mu0p2,Random Trimmed Mean
tea_fl,0.37897925449337955,0.46636764724609525,14.464488970390448,0.329553383446526,18.5,0.6396408804390529,0.0,0.0,1.0,1.0,0.3571428571428572,0.0,True,True,0.5,0.3392857142857143,0.1,labelflip_mu0p2,TEA-FL
arl_fl,0.25916489523175673,0.3442276547907167,16.68796902085163,0.25014338164434097,22.4,0.8736804568005418,0.0,0.0,0.3019550600636227,0.3019550600636227,1.0,0.7320873022559927,False,True,0.15097753003181136,0.5085105905799039,0.1,labelflip_mu0p4,ARL-FL
fedavg,0.3778933526454952,0.43974963127858224,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.8754293250660532,0.8719322552704711,0.06566974175388463,0.06566974175388451,0.0,1.0,False,False,0.4705495334099689,0.4852747667049845,0.1,labelflip_mu0p4,FedAvg
fedle_adapted,0.2885542597961776,0.354641025861698,17.678964681695224,0.21475067947135545,19.6,0.9271706222170899,0.2166987775735562,0.09505408552808181,0.0,0.0,0.4814814814814819,0.8989292575834192,False,True,0.1083493887867781,0.39927737915961437,0.1,labelflip_mu0p4,FedLE-adapted
fedprox,0.3947880163840897,0.45377971678919715,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,1.0,1.0,0.06566974175388463,0.06566974175388451,0.0,1.0,True,True,0.5328348708769424,0.5164174354384712,0.1,labelflip_mu0p4,FedProx
random_trimmed_mean,0.29806435156459543,0.36574508566989195,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.28682024128575034,0.19641283319225608,0.06566974175388463,0.06566974175388451,0.0,1.0,False,False,0.17624499151981748,0.3381224957599087,0.1,labelflip_mu0p4,Random Trimmed Mean
tea_fl,0.27243650489267307,0.3530953279235895,14.397033719403055,0.33196249955321855,18.6,0.6389704833998036,0.09785654207153631,0.08094483089689164,1.0,1.0,0.2962962962962966,0.0,True,True,0.5489282710357681,0.34853820959195825,0.1,labelflip_mu0p4,TEA-FL
