run_id,condition_id,outer_fold,alpha,scenario,method,method_label,fl_seed,macro_f1_auc_0_100,macro_f1_auc_20_100,balanced_accuracy_auc_0_100,active_clients_auc_0_100,mean_residual_energy_auc_0_100,macro_f1_round15,macro_f1_round20,macro_f1_round25,macro_f1_round40,macro_f1_round100,macro_f1_postattack_nadir,macro_f1_postattack_nadir_round,macro_f1_delta_round25_minus15,macro_f1_delta_round40_minus15,macro_f1_delta_round100_minus15,macro_f1_final_recovery_from_nadir,active_clients_round100,mean_residual_energy_round100,global_pressure_round20,global_pressure_round40,global_pressure_round100,global_pressure_max
182,31,2,0.1,clean,fedprox,FedProx,123,0.4522204063962845,0.4985117656324983,0.5150491858724509,25.35,0.5104105961379889,0.3258983207546172,0.3523341236882421,0.4054142217298471,0.3211166711231794,0.7069358133914445,0.2552166835427282,45,0.07951590097522987,-0.004781649631437845,0.3810374926368273,0.4517191298487163,16.0,0.2093622782180975,,,,
183,31,2,0.1,clean,random_trimmed_mean,Random Trimmed Mean,123,0.33751977804617483,0.37475087220444514,0.41763592322048304,25.35,0.5104105961379889,0.2045722642156089,0.381185866511651,0.2850380233891285,0.2842875480199515,0.4366223873642643,0.2738567058013289,45,0.08046575917351959,0.07971528380434259,0.2320501231486554,0.16276568156293536,16.0,0.2093622782180975,,,,
184,31,2,0.1,clean,fedle_adapted,FedLE-adapted,123,0.40272196370904595,0.45821955863518304,0.4770024032281781,26.4,0.4954013181519622,0.1324804503115775,0.3372124243086098,0.2420898732993559,0.3141822868871157,0.5422994568583056,0.2420898732993559,25,0.1096094229877784,0.18170183657553818,0.4098190065467281,0.30020958355894967,16.0,0.1926863462402891,,,,
185,31,2,0.1,clean,tea_fl,TEA-FL,123,0.26093555751309755,0.28557508125506165,0.36242339291800435,25.775,0.5751240972621577,0.1748522024340169,0.2380868198964599,0.1735546005779817,0.2158694419308076,0.4363761423979284,0.1735546005779817,25,-0.0012976018560351965,0.0410172394967907,0.2615239399639115,0.26282154181994666,17.0,0.2904844446764607,,,,
186,31,2,0.1,clean,arl_fl,ARL-FL,123,0.35825718575198046,0.3889434663274008,0.44043736648580223,27.8,0.537724214401832,0.3497353650119125,0.3075569083789586,0.2662788478203011,0.322078998728548,0.4236913853290474,0.2618298351940899,35,-0.0834565171916114,-0.027656366283364486,0.07395602031713489,0.16186155013495745,26.0,0.233844345494915,0.1622968725130799,0.2125238343619042,0.264737994135834,0.2652694471831165
187,32,2,0.1,clean,fedavg,FedAvg,456,0.44596548708173833,0.5029493519950927,0.5085267285957349,26.25,0.5425638569536626,0.2546385135372243,0.2952864134911218,0.3751012950439817,0.4677983669063093,0.5000275140971038,0.2952864134911218,20,0.12046278150675743,0.21315985336908505,0.2453890005598795,0.204741100605982,18.0,0.2418024625543449,,,,
188,32,2,0.1,clean,fedprox,FedProx,456,0.4584865880776505,0.5185312236951118,0.5195259147993962,26.25,0.5425638569536626,0.2398152478596766,0.3527804906970922,0.3718171652636148,0.4972757512295256,0.6269929042761274,0.333364854638753,30,0.1320019174039382,0.25746050336984905,0.38717765641645085,0.29362804963737443,18.0,0.2418024625543449,,,,
189,32,2,0.1,clean,random_trimmed_mean,Random Trimmed Mean,456,0.3611974699673231,0.40238102695409045,0.44226846070317344,26.25,0.5425638569536626,0.2459028347024655,0.322075162909358,0.1810723263459857,0.4463110626034505,0.469991918599104,0.1810723263459857,25,-0.0648305083564798,0.200408227900985,0.2240890838966385,0.2889195922531183,18.0,0.2418024625543449,,,,
190,32,2,0.1,clean,fedle_adapted,FedLE-adapted,456,0.40955442113644736,0.44589339788893395,0.478571272664567,26.7,0.5279613304082023,0.3718534233777066,0.3115074709297381,0.423131416695577,0.4510741972922314,0.6414721876178608,0.30506314072043,85,0.05127799331787042,0.07922077391452481,0.26961876424015424,0.33640904689743084,20.0,0.2363783218173115,,,,
191,32,2,0.1,clean,tea_fl,TEA-FL,456,0.26717624521128475,0.2930067970778104,0.3644966283771736,26.35,0.609390184056542,0.2360573025394684,0.2340832500615063,0.1751932403263642,0.3416322857518959,0.3503823909713989,0.1751932403263642,25,-0.0608640622131042,0.1055749832124275,0.11432508843193048,0.17518915064503468,20.0,0.3443100647869651,,,,
