alpha,scenario,method,method_label,round,n_runs,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_ci95_low,test_macro_f1_ci95_high,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_ci95_low,test_balanced_accuracy_ci95_high,active_clients_mean,active_clients_std,active_clients_ci95_low,active_clients_ci95_high,mean_residual_energy_mean,mean_residual_energy_std,mean_residual_energy_ci95_low,mean_residual_energy_ci95_high,global_pressure_mean,global_pressure_std,global_pressure_ci95_low,global_pressure_ci95_high
0.1,clean,tea_fl,TEA-FL,50,10,0.28924488326957815,0.05442672636013686,0.2503103486984786,0.32817941784067767,0.3850744870321465,0.04556201251561043,0.3524813867291827,0.4176675873351102,28.0,0.0,28.0,28.0,0.6013620103979165,0.023500599818225,0.5845506940234962,0.6181733267723367,,,,
0.1,clean,tea_fl,TEA-FL,55,10,0.2615930361542741,0.056174353743356394,0.22140832426552504,0.30177774804302315,0.36499469184445776,0.050156941571759345,0.3291145773087326,0.4008748063801829,27.9,0.3162277660168379,27.673784283720178,28.12621571627982,0.5780189358920318,0.0240212602249501,0.5608351614999953,0.5952027102840682,,,,
0.1,clean,tea_fl,TEA-FL,60,10,0.29275431076708736,0.06376762533377794,0.2471376996072194,0.33837092192695534,0.3962842451286095,0.04896663559180074,0.3612556241958659,0.4313128660613531,27.2,0.9189365834726815,26.54263236886373,27.85736763113627,0.5541997524226476,0.025165017472434863,0.5361977833848689,0.5722017214604264,,,,
0.1,clean,tea_fl,TEA-FL,65,10,0.32188908008731965,0.05277033924191631,0.28413945348020003,0.35963870669443926,0.4174166635472731,0.047644642110901254,0.38333373978073915,0.451499587313807,26.9,0.8755950357709131,26.273637044327646,27.52636295567235,0.5301964590953208,0.025933314556161328,0.5116448834328612,0.5487480347577803,,,,
0.1,clean,tea_fl,TEA-FL,70,10,0.31638260780401317,0.055538203780958806,0.27665297018409823,0.3561122454239281,0.40940448186392536,0.0594281426689852,0.3668921495966569,0.45191681413119383,25.5,0.8498365855987975,24.89206352954537,26.10793647045463,0.5051757457038961,0.027372541874005347,0.4855946088403552,0.524756882567437,,,,
0.1,clean,tea_fl,TEA-FL,75,10,0.3371842802964203,0.07387141044217771,0.284339856682815,0.3900287039100256,0.41969535949791525,0.06668034299165551,0.37199511564634186,0.46739560334948865,24.1,1.1005049346146119,23.312746194968643,24.88725380503136,0.4784691335487496,0.02926171471981393,0.45753656384338726,0.49940170325411193,,,,
0.1,clean,tea_fl,TEA-FL,80,10,0.3783263086987219,0.03981029856369157,0.34984773669243113,0.4068048807050127,0.452022268881313,0.033408291084138036,0.4281234171375967,0.47592112062502934,23.2,1.0327955589886444,22.46118256442164,23.938817435578358,0.4501233846620945,0.03082060368265405,0.42807565297152306,0.47217111635266595,,,,
0.1,clean,tea_fl,TEA-FL,85,10,0.39112970781881573,0.055346448588693566,0.3515372435999434,0.43072217203768803,0.46526865859157207,0.05308186295496816,0.4272961813449472,0.503241135838197,22.3,1.1595018087284057,21.470542373640658,23.129457626359343,0.4212820039962832,0.03206156654185332,0.3983465409543304,0.44421746703823595,,,,
0.1,clean,tea_fl,TEA-FL,90,10,0.4257168681643533,0.054799382426078846,0.38651575150293027,0.4649179848257763,0.4880353516598692,0.04765760056163878,0.4539431579761095,0.5221275453436289,21.8,1.5491933384829668,20.69177384663246,22.90822615336754,0.3921352169216641,0.033718542231268356,0.36801442487726277,0.4162560089660654,,,,
0.1,clean,tea_fl,TEA-FL,95,10,0.45431855269854127,0.06081460428710769,0.4108144055378856,0.4978226998591969,0.5101025990511031,0.05738437570399438,0.4690522895964355,0.5511529085057707,20.0,1.5634719199411433,18.88155956477889,21.11844043522111,0.3624014713944102,0.03463638101602968,0.33762409703676216,0.38717884575205824,,,,
0.1,clean,tea_fl,TEA-FL,100,10,0.4043579100502197,0.055495233714822276,0.3646590113638655,0.4440568087365739,0.4704356746488664,0.05291931524588186,0.4325794770284861,0.5082918722692467,18.7,1.5670212364724212,17.579020536686762,19.820979463313236,0.3319819683398898,0.03559938547267591,0.3065157020936993,0.35744823458608027,,,,
0.1,clean,arl_fl,ARL-FL,0,10,0.016084496343229518,0.01388783789303409,0.006149735597446497,0.026019257089012537,0.08686762240013177,0.013057844160576017,0.077526603402775,0.09620864139748854,28.0,0.0,28.0,28.0,0.846142275246185,0.01941488061683745,0.8322537063183344,0.8600308441740356,0.0,0.0,0.0,0.0
0.1,clean,arl_fl,ARL-FL,5,10,0.12971646273943244,0.04144828793024229,0.10006614372787306,0.1593667817509918,0.23872491057457784,0.03965219622613559,0.21035943816730782,0.26709038298184784,28.0,0.0,28.0,28.0,0.8195272744823301,0.01977058644299611,0.8053842489352429,0.8336703000294173,0.10118640515384898,0.005421413845819713,0.09730815931911688,0.10506465098858109
0.1,clean,arl_fl,ARL-FL,10,10,0.21315654259865005,0.049323053792550434,0.1778729554445865,0.2484401297527136,0.3122998746637376,0.04407998157986996,0.28076695542551794,0.34383279390195726,28.0,0.0,28.0,28.0,0.7905025563428165,0.020420099791353157,0.775894896936462,0.8051102157491711,0.14502904421722312,0.010697101697114133,0.137376798644322,0.15268128979012424
0.1,clean,arl_fl,ARL-FL,15,10,0.23220238232498205,0.06719249708806864,0.18413576550361838,0.28026899914634573,0.335043720481506,0.05717178995409051,0.2941454857111431,0.3759419552518689,28.0,0.0,28.0,28.0,0.7596776727783852,0.020241286258829476,0.7451979288674023,0.774157416689368,0.16490684498038238,0.012263036837077518,0.15613439689080633,0.17367929306995844
