alpha,scenario,method,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,energy_consumed_mean,final_active_clients_mean,jain_fairness_mean,method_label,macro_f1_rank
0.1,labelflip_mu0p4,fedle_adapted,0.2885542597961776,0.10780965313184297,0.354641025861698,17.678964681695224,19.6,0.9271706222170899,FedLE-adapted,4.0
0.1,labelflip_mu0p4,fedprox,0.3947880163840897,0.09403037939539731,0.45377971678919715,17.46344112294742,17.0,0.959574286631274,FedProx,1.0
0.1,labelflip_mu0p4,random_trimmed_mean,0.29806435156459543,0.1224180915396914,0.36574508566989195,17.46344112294742,17.0,0.959574286631274,Random Trimmed Mean,3.0
0.1,labelflip_mu0p4,tea_fl,0.27243650489267307,0.09967388081360393,0.3530953279235895,14.397033719403055,18.6,0.6389704833998036,TEA-FL,5.0
0.1,signflip_mu0p2,arl_fl,0.3431286618360251,0.09192715833187493,0.4134998535139025,16.650590914230982,22.3,0.8639456857911704,ARL-FL,2.0
0.1,signflip_mu0p2,fedavg,0.026010148984365572,0.022762293677911015,0.10121283900039739,17.46344112294742,17.0,0.959574286631274,FedAvg,6.0
0.1,signflip_mu0p2,fedle_adapted,0.03374887947601842,0.03190908439017477,0.11124319312979383,17.677582324279882,19.8,0.9282423273953293,FedLE-adapted,4.0
0.1,signflip_mu0p2,fedprox,0.031111229232488817,0.025381872620570536,0.10955080193157254,17.46344112294742,17.0,0.959574286631274,FedProx,5.0
0.1,signflip_mu0p2,random_trimmed_mean,0.2873511584374024,0.12194784757136683,0.3673985841607485,17.46344112294742,17.0,0.959574286631274,Random Trimmed Mean,3.0
0.1,signflip_mu0p2,tea_fl,0.43261029037426874,0.11953327752475991,0.5052664908547024,15.070526938353044,17.1,0.6621029109996921,TEA-FL,1.0
0.1,signflip_mu0p4,arl_fl,0.01941733625319571,0.012397332834064018,0.0907250623286448,16.63627709597189,21.0,0.8636976208508088,ARL-FL,3.0
0.1,signflip_mu0p4,fedavg,0.015319655462552251,0.0018725772238162284,0.0833333333333333,17.46344112294742,17.0,0.959574286631274,FedAvg,4.0
0.1,signflip_mu0p4,fedle_adapted,0.01294778668273536,0.003127425087619362,0.0833333333333333,17.678964681695224,19.6,0.9271706222170899,FedLE-adapted,6.0
0.1,signflip_mu0p4,fedprox,0.014761815816393681,0.002529388646700904,0.0833333333333333,17.46344112294742,17.0,0.959574286631274,FedProx,5.0
