index,alpha,scenario,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,method_label,rank_within_condition_activity
73,0.1,labelflip_mu0p2,0,1,Lying,fedavg,0.25303472914806163,0.3615859776864349,0.00928319117773755,FedAvg,4.0
74,0.1,labelflip_mu0p2,0,1,Lying,fedle_adapted,0.4207159198421929,0.4505718336408934,0.28324742268041236,FedLE-adapted,1.0
75,0.1,labelflip_mu0p2,0,1,Lying,fedprox,0.38048559241619695,0.42102303597383506,0.23240589198036005,FedProx,3.0
76,0.1,labelflip_mu0p2,0,1,Lying,random_trimmed_mean,0.09734489565794055,0.2861594877990504,0.0,Random Trimmed Mean,6.0
77,0.1,labelflip_mu0p2,0,1,Lying,tea_fl,0.15433793305350405,0.3230888287606434,0.0,TEA-FL,5.0
78,0.1,labelflip_mu0p2,1,2,Sitting,arl_fl,0.18278025716420107,0.2184276005401275,0.05179282868525895,ARL-FL,6.0
79,0.1,labelflip_mu0p2,1,2,Sitting,fedavg,0.2967667230532345,0.21640516877589144,0.38385744831027535,FedAvg,1.0
80,0.1,labelflip_mu0p2,1,2,Sitting,fedle_adapted,0.2884599410449219,0.25923917423690573,0.3938494670754854,FedLE-adapted,3.0
81,0.1,labelflip_mu0p2,1,2,Sitting,fedprox,0.2784066291193308,0.23612415757800947,0.38430261306150393,FedProx,4.0
82,0.1,labelflip_mu0p2,1,2,Sitting,random_trimmed_mean,0.29448832567012617,0.21297688883712093,0.34307861189572025,Random Trimmed Mean,2.0
83,0.1,labelflip_mu0p2,1,2,Sitting,tea_fl,0.22285427522615983,0.23397279546499297,0.20301542776998596,TEA-FL,5.0
84,0.1,labelflip_mu0p2,2,3,Standing,arl_fl,0.2475605274941129,0.2345117990061254,0.28731374460381554,ARL-FL,2.0
85,0.1,labelflip_mu0p2,2,3,Standing,fedavg,0.16637365281158725,0.2426670493694282,0.01650943396226415,FedAvg,5.0
86,0.1,labelflip_mu0p2,2,3,Standing,fedle_adapted,0.32792097265881076,0.27675687785749725,0.3962620517911527,FedLE-adapted,1.0
87,0.1,labelflip_mu0p2,2,3,Standing,fedprox,0.22927771452943518,0.24892923076399473,0.15867059769498787,FedProx,3.0
88,0.1,labelflip_mu0p2,2,3,Standing,random_trimmed_mean,0.14242756622146624,0.2058582401937092,0.0051020408163265,Random Trimmed Mean,6.0
89,0.1,labelflip_mu0p2,2,3,Standing,tea_fl,0.20491807196275688,0.19226475321165587,0.1647526647526647,TEA-FL,4.0
90,0.1,labelflip_mu0p2,3,4,Walking,arl_fl,0.8588155697390174,0.120340315160895,0.9040576154125772,ARL-FL,1.0
91,0.1,labelflip_mu0p2,3,4,Walking,fedavg,0.7250981782438416,0.3138028427706595,0.8731464851092269,FedAvg,3.0
92,0.1,labelflip_mu0p2,3,4,Walking,fedle_adapted,0.7483303502806726,0.2929598596699767,0.8392509122375762,FedLE-adapted,2.0
93,0.1,labelflip_mu0p2,3,4,Walking,fedprox,0.7049711538777872,0.32681488696049954,0.8518743360145697,FedProx,5.0
94,0.1,labelflip_mu0p2,3,4,Walking,random_trimmed_mean,0.723408402886549,0.30498445281494263,0.810300312542465,Random Trimmed Mean,4.0
95,0.1,labelflip_mu0p2,3,4,Walking,tea_fl,0.5948370674209565,0.38631262572121267,0.707093450690411,TEA-FL,6.0
96,0.1,labelflip_mu0p2,4,5,Running,arl_fl,0.45459914025627074,0.47315725924052193,0.3905895691609977,ARL-FL,5.0
97,0.1,labelflip_mu0p2,4,5,Running,fedavg,0.7518040018002126,0.3256584639472987,0.9130011788265704,FedAvg,3.0
98,0.1,labelflip_mu0p2,4,5,Running,fedle_adapted,0.8040540074834963,0.31724934644687663,0.9411342604048102,FedLE-adapted,1.0
99,0.1,labelflip_mu0p2,4,5,Running,fedprox,0.7873963996872224,0.3086866007550216,0.9038461538461537,FedProx,2.0
100,0.1,labelflip_mu0p2,4,5,Running,random_trimmed_mean,0.6366465467536816,0.4452346286690179,0.922077922077922,Random Trimmed Mean,4.0
101,0.1,labelflip_mu0p2,4,5,Running,tea_fl,0.4520867648548653,0.3238278806339112,0.6032028184802627,TEA-FL,6.0
102,0.1,labelflip_mu0p2,5,6,Cycling,arl_fl,0.7956150372176556,0.11194670497032672,0.8413929239313171,ARL-FL,5.0
103,0.1,labelflip_mu0p2,5,6,Cycling,fedavg,0.864410729285293,0.09720374015638626,0.8985046078942793,FedAvg,1.0
104,0.1,labelflip_mu0p2,5,6,Cycling,fedle_adapted,0.8549175541868006,0.1358480498431483,0.9023913675485271,FedLE-adapted,3.0
105,0.1,labelflip_mu0p2,5,6,Cycling,fedprox,0.862777824038514,0.11016592694853566,0.8929075130554109,FedProx,2.0
106,0.1,labelflip_mu0p2,5,6,Cycling,random_trimmed_mean,0.8543893515239169,0.07721050289927019,0.8827721545135303,Random Trimmed Mean,4.0
107,0.1,labelflip_mu0p2,5,6,Cycling,tea_fl,0.6401739132089038,0.25639245866624855,0.7251693445038228,TEA-FL,6.0
108,0.1,labelflip_mu0p2,6,7,Nordic walking,arl_fl,0.700333608468286,0.21623777891959922,0.7556629417094534,ARL-FL,1.0
109,0.1,labelflip_mu0p2,6,7,Nordic walking,fedavg,0.6981902880921937,0.28196979450724097,0.7564863744232618,FedAvg,2.0
110,0.1,labelflip_mu0p2,6,7,Nordic walking,fedle_adapted,0.6253993757921801,0.37781888303310723,0.7490406780369243,FedLE-adapted,5.0
111,0.1,labelflip_mu0p2,6,7,Nordic walking,fedprox,0.6975657567825932,0.27765104230436644,0.6934260429835651,FedProx,3.0
112,0.1,labelflip_mu0p2,6,7,Nordic walking,random_trimmed_mean,0.635415241932096,0.3556171638370646,0.7796729488907215,Random Trimmed Mean,4.0
113,0.1,labelflip_mu0p2,6,7,Nordic walking,tea_fl,0.5843996072793081,0.3442514855872913,0.6690067776755083,TEA-FL,6.0
114,0.1,labelflip_mu0p2,7,12,Ascending stairs,arl_fl,0.3950841815296119,0.28502958231818204,0.42718508412914963,ARL-FL,5.0
115,0.1,labelflip_mu0p2,7,12,Ascending stairs,fedavg,0.42634422272423633,0.25197038661071,0.4047413673168424,FedAvg,3.0
116,0.1,labelflip_mu0p2,7,12,Ascending stairs,fedle_adapted,0.46252168035892927,0.2558704942575151,0.5440237226277372,FedLE-adapted,1.0
117,0.1,labelflip_mu0p2,7,12,Ascending stairs,fedprox,0.45862960626961036,0.192562725103362,0.4320740470101083,FedProx,2.0
118,0.1,labelflip_mu0p2,7,12,Ascending stairs,random_trimmed_mean,0.4059978062749815,0.2231683455957205,0.4317725752508361,Random Trimmed Mean,4.0
119,0.1,labelflip_mu0p2,7,12,Ascending stairs,tea_fl,0.21635256688234494,0.33301317345742154,0.0,TEA-FL,6.0
120,0.1,labelflip_mu0p2,8,13,Descending stairs,arl_fl,0.3790297021010841,0.20937269164924743,0.44316983678461463,ARL-FL,6.0
121,0.1,labelflip_mu0p2,8,13,Descending stairs,fedavg,0.44607098555880353,0.23762581023798932,0.49845505617977526,FedAvg,3.0
122,0.1,labelflip_mu0p2,8,13,Descending stairs,fedle_adapted,0.48542237111572817,0.25350763640208007,0.544545905707196,FedLE-adapted,1.0
123,0.1,labelflip_mu0p2,8,13,Descending stairs,fedprox,0.4618435480879767,0.2597769651333874,0.45338407175863005,FedProx,2.0
124,0.1,labelflip_mu0p2,8,13,Descending stairs,random_trimmed_mean,0.384406173678999,0.21807241337611696,0.4221805943611887,Random Trimmed Mean,5.0
125,0.1,labelflip_mu0p2,8,13,Descending stairs,tea_fl,0.41115783048008314,0.233886500039411,0.4477487493051695,TEA-FL,4.0
126,0.1,labelflip_mu0p2,9,16,Vacuum cleaning,arl_fl,0.5158764241023499,0.2940328997561887,0.6754381403089085,ARL-FL,4.0
127,0.1,labelflip_mu0p2,9,16,Vacuum cleaning,fedavg,0.5991089930192253,0.24474377607054432,0.6968944099378882,FedAvg,1.0
128,0.1,labelflip_mu0p2,9,16,Vacuum cleaning,fedle_adapted,0.5898173118306169,0.27276578284722414,0.6609191315889268,FedLE-adapted,2.0
129,0.1,labelflip_mu0p2,9,16,Vacuum cleaning,fedprox,0.5494957557267022,0.29652281815469206,0.6833721833721833,FedProx,3.0
130,0.1,labelflip_mu0p2,9,16,Vacuum cleaning,random_trimmed_mean,0.3920605643907335,0.2786221384944091,0.4689030538749639,Random Trimmed Mean,6.0
131,0.1,labelflip_mu0p2,9,16,Vacuum cleaning,tea_fl,0.40298010684090285,0.29704776689128676,0.576400899342788,TEA-FL,5.0
132,0.1,labelflip_mu0p2,10,17,Ironing,arl_fl,0.632485461050297,0.14011292709195358,0.6203173917737235,ARL-FL,1.0
133,0.1,labelflip_mu0p2,10,17,Ironing,fedavg,0.5334201441815642,0.3457715298903339,0.7059940459640723,FedAvg,3.0
134,0.1,labelflip_mu0p2,10,17,Ironing,fedle_adapted,0.506315965871733,0.28508887615487777,0.5836626804165879,FedLE-adapted,5.0
135,0.1,labelflip_mu0p2,10,17,Ironing,fedprox,0.5185458735061335,0.35467582004423437,0.6961305834545272,FedProx,4.0
136,0.1,labelflip_mu0p2,10,17,Ironing,random_trimmed_mean,0.4101296149708379,0.3438209492709425,0.610244475285577,Random Trimmed Mean,6.0
137,0.1,labelflip_mu0p2,10,17,Ironing,tea_fl,0.571111829479417,0.256376860357336,0.669297112009312,TEA-FL,2.0
138,0.1,labelflip_mu0p2,11,24,Rope jumping,arl_fl,0.0,0.0,0.0,ARL-FL,6.0
139,0.1,labelflip_mu0p2,11,24,Rope jumping,fedavg,0.3948111477038788,0.4248824477628076,0.33663366336633666,FedAvg,2.0
140,0.1,labelflip_mu0p2,11,24,Rope jumping,fedle_adapted,0.21632931433442942,0.355976535641521,0.0,FedLE-adapted,3.0
141,0.1,labelflip_mu0p2,11,24,Rope jumping,fedprox,0.4106225169848252,0.40938747438119477,0.40863422291993723,FedProx,1.0
142,0.1,labelflip_mu0p2,11,24,Rope jumping,random_trimmed_mean,0.07244759972954698,0.15950312281191956,0.0,Random Trimmed Mean,5.0
143,0.1,labelflip_mu0p2,11,24,Rope jumping,tea_fl,0.09254108723135271,0.2017136455817991,0.0,TEA-FL,4.0
144,0.1,labelflip_mu0p4,0,1,Lying,arl_fl,0.09136156585804822,0.16118365532667614,0.0,ARL-FL,4.0
145,0.1,labelflip_mu0p4,0,1,Lying,fedavg,0.31471796050342776,0.41617185119776107,0.0,FedAvg,1.0
146,0.1,labelflip_mu0p4,0,1,Lying,fedle_adapted,0.1718446791293532,0.3464131883275569,0.0,FedLE-adapted,3.0
147,0.1,labelflip_mu0p4,0,1,Lying,fedprox,0.29263268481254745,0.38804183664506525,0.00469483568075115,FedProx,2.0
148,0.1,labelflip_mu0p4,0,1,Lying,random_trimmed_mean,0.0672650155267742,0.2021625913255912,0.0,Random Trimmed Mean,6.0
149,0.1,labelflip_mu0p4,0,1,Lying,tea_fl,0.07479573487517875,0.22150846806072835,0.0,TEA-FL,5.0
150,0.1,labelflip_mu0p4,1,2,Sitting,arl_fl,0.1423438304342366,0.2034413051486272,0.01058201058201055,ARL-FL,3.0
151,0.1,labelflip_mu0p4,1,2,Sitting,fedavg,0.16610387487275874,0.19529087402736722,0.08598976780794955,FedAvg,2.0
152,0.1,labelflip_mu0p4,1,2,Sitting,fedle_adapted,0.10811613117933876,0.2145838276740666,0.00799168152109325,FedLE-adapted,6.0
153,0.1,labelflip_mu0p4,1,2,Sitting,fedprox,0.12990623073196933,0.17609822121452662,0.043623391222556096,FedProx,4.0
154,0.1,labelflip_mu0p4,1,2,Sitting,random_trimmed_mean,0.1103292181821579,0.1736936048941975,0.0053475935828877,Random Trimmed Mean,5.0
155,0.1,labelflip_mu0p4,1,2,Sitting,tea_fl,0.18244949651697012,0.21024235523027662,0.0728744939271255,TEA-FL,1.0
156,0.1,labelflip_mu0p4,2,3,Standing,arl_fl,0.22167542356684308,0.22795133158326505,0.1876734077316727,ARL-FL,6.0
157,0.1,labelflip_mu0p4,2,3,Standing,fedavg,0.3059615512385362,0.2153121033019197,0.3839080459770115,FedAvg,3.0
158,0.1,labelflip_mu0p4,2,3,Standing,fedle_adapted,0.33622933829097507,0.20257611352978813,0.40607122113581845,FedLE-adapted,2.0
159,0.1,labelflip_mu0p4,2,3,Standing,fedprox,0.3578889612149214,0.18938738130621313,0.40623580965550743,FedProx,1.0
160,0.1,labelflip_mu0p4,2,3,Standing,random_trimmed_mean,0.26676901066517433,0.17997957231294628,0.3343584193834453,Random Trimmed Mean,5.0
161,0.1,labelflip_mu0p4,2,3,Standing,tea_fl,0.270924348771561,0.15468811173853375,0.3151632302405498,TEA-FL,4.0
162,0.1,labelflip_mu0p4,3,4,Walking,arl_fl,0.48821434247782297,0.44305169388764104,0.4606043574080374,ARL-FL,4.0
163,0.1,labelflip_mu0p4,3,4,Walking,fedavg,0.583160649278786,0.4050982276979078,0.7339860064001735,FedAvg,3.0
164,0.1,labelflip_mu0p4,3,4,Walking,fedle_adapted,0.42167010109929326,0.389893933279992,0.47285067873303166,FedLE-adapted,5.0
165,0.1,labelflip_mu0p4,3,4,Walking,fedprox,0.5939116310689434,0.40738529171322607,0.7718136833457518,FedProx,2.0
166,0.1,labelflip_mu0p4,3,4,Walking,random_trimmed_mean,0.6179674057503134,0.38737731865868213,0.7607411484131352,Random Trimmed Mean,1.0
167,0.1,labelflip_mu0p4,3,4,Walking,tea_fl,0.37921051567704445,0.4899241184582229,0.0,TEA-FL,6.0
168,0.1,labelflip_mu0p4,4,5,Running,arl_fl,0.11564863361892579,0.23232645028998047,0.0,ARL-FL,6.0
169,0.1,labelflip_mu0p4,4,5,Running,fedavg,0.3221740881886081,0.3827881465036337,0.09623108345213291,FedAvg,2.0
170,0.1,labelflip_mu0p4,4,5,Running,fedle_adapted,0.1579202287054761,0.2997602729859512,0.0,FedLE-adapted,5.0
171,0.1,labelflip_mu0p4,4,5,Running,fedprox,0.31063500479484085,0.3585567787168652,0.1159090909090909,FedProx,3.0
172,0.1,labelflip_mu0p4,4,5,Running,random_trimmed_mean,0.30214186824133377,0.35344466800198066,0.1052128435031646,Random Trimmed Mean,4.0
173,0.1,labelflip_mu0p4,4,5,Running,tea_fl,0.351285464149406,0.35684970544960726,0.2516754609708133,TEA-FL,1.0
174,0.1,labelflip_mu0p4,5,6,Cycling,arl_fl,0.5310863373476415,0.3119657264020853,0.6185034611581145,ARL-FL,3.0
175,0.1,labelflip_mu0p4,5,6,Cycling,fedavg,0.5918389534404316,0.2799167161295169,0.6981248944197309,FedAvg,1.0
176,0.1,labelflip_mu0p4,5,6,Cycling,fedle_adapted,0.5048159626435262,0.30551557514113675,0.5696623214022685,FedLE-adapted,5.0
177,0.1,labelflip_mu0p4,5,6,Cycling,fedprox,0.5815936067076701,0.3366211087423154,0.657577188989565,FedProx,2.0
178,0.1,labelflip_mu0p4,5,6,Cycling,random_trimmed_mean,0.5192519158511903,0.31451400167296006,0.6027254060108269,Random Trimmed Mean,4.0
179,0.1,labelflip_mu0p4,5,6,Cycling,tea_fl,0.46064249534593105,0.28690529541127446,0.4662022484637386,TEA-FL,6.0
180,0.1,labelflip_mu0p4,6,7,Nordic walking,arl_fl,0.4309878544328967,0.47613029529028295,0.2409972299168975,ARL-FL,5.0
181,0.1,labelflip_mu0p4,6,7,Nordic walking,fedavg,0.4962284041186754,0.40818652492718,0.46747461513265637,FedAvg,4.0
182,0.1,labelflip_mu0p4,6,7,Nordic walking,fedle_adapted,0.32358677805713265,0.4116310043606693,0.0700636942675159,FedLE-adapted,6.0
183,0.1,labelflip_mu0p4,6,7,Nordic walking,fedprox,0.5912358125801627,0.36621085615165117,0.6734006734006734,FedProx,1.0
184,0.1,labelflip_mu0p4,6,7,Nordic walking,random_trimmed_mean,0.56560018756591,0.3666244736080145,0.6737022737022738,Random Trimmed Mean,2.0
185,0.1,labelflip_mu0p4,6,7,Nordic walking,tea_fl,0.5227825078363499,0.3906930964365169,0.5871659076549727,TEA-FL,3.0
186,0.1,labelflip_mu0p4,7,12,Ascending stairs,arl_fl,0.34458695236047154,0.2504407674704706,0.3619499754443707,ARL-FL,3.0
187,0.1,labelflip_mu0p4,7,12,Ascending stairs,fedavg,0.3774662858587556,0.23622474794751366,0.4041022336769759,FedAvg,2.0
188,0.1,labelflip_mu0p4,7,12,Ascending stairs,fedle_adapted,0.27291302005284523,0.18610447014359344,0.29998316498316496,FedLE-adapted,5.0
189,0.1,labelflip_mu0p4,7,12,Ascending stairs,fedprox,0.37824382588037925,0.24183960006508595,0.39838591342626556,FedProx,1.0
190,0.1,labelflip_mu0p4,7,12,Ascending stairs,random_trimmed_mean,0.309658053109607,0.2319389701006531,0.2687214865917436,Random Trimmed Mean,4.0
191,0.1,labelflip_mu0p4,7,12,Ascending stairs,tea_fl,0.22031747638326588,0.31082593121193186,0.0126785714285714,TEA-FL,6.0
192,0.1,labelflip_mu0p4,8,13,Descending stairs,arl_fl,0.24022579597180962,0.26433099024219747,0.099052899052899,ARL-FL,6.0
193,0.1,labelflip_mu0p4,8,13,Descending stairs,fedavg,0.46626688080261447,0.26787218767384524,0.5756411748729291,FedAvg,1.0
194,0.1,labelflip_mu0p4,8,13,Descending stairs,fedle_adapted,0.33994092856825553,0.2804049701183877,0.33918764302059495,FedLE-adapted,4.0
195,0.1,labelflip_mu0p4,8,13,Descending stairs,fedprox,0.45268158508100564,0.2189280971105914,0.5443668993020937,FedProx,2.0
196,0.1,labelflip_mu0p4,8,13,Descending stairs,random_trimmed_mean,0.2740862097782546,0.2782703834126735,0.24329004329004325,Random Trimmed Mean,5.0
197,0.1,labelflip_mu0p4,8,13,Descending stairs,tea_fl,0.3558442955042743,0.29662174984324297,0.37150349650349646,TEA-FL,3.0
198,0.1,labelflip_mu0p4,9,16,Vacuum cleaning,arl_fl,0.31850622365571185,0.27505224203194634,0.26791124386601234,ARL-FL,5.0
199,0.1,labelflip_mu0p4,9,16,Vacuum cleaning,fedavg,0.3893890185293767,0.3594878890037783,0.40267979994321534,FedAvg,2.0
200,0.1,labelflip_mu0p4,9,16,Vacuum cleaning,fedle_adapted,0.3248523595570219,0.2955986958806696,0.21531555707350394,FedLE-adapted,4.0
201,0.1,labelflip_mu0p4,9,16,Vacuum cleaning,fedprox,0.41437358546380815,0.320521820709963,0.3685387007361634,FedProx,1.0
202,0.1,labelflip_mu0p4,9,16,Vacuum cleaning,random_trimmed_mean,0.34586104273753604,0.3163026064814636,0.3672747580044676,Random Trimmed Mean,3.0
203,0.1,labelflip_mu0p4,9,16,Vacuum cleaning,tea_fl,0.21916243592052012,0.23861226000219637,0.17249474086823485,TEA-FL,6.0
204,0.1,labelflip_mu0p4,10,17,Ironing,arl_fl,0.17908934830793902,0.24306529236601107,0.06114138946313345,ARL-FL,6.0
205,0.1,labelflip_mu0p4,10,17,Ironing,fedavg,0.4359958982473053,0.34875942770873486,0.605101246105919,FedAvg,2.0
206,0.1,labelflip_mu0p4,10,17,Ironing,fedle_adapted,0.49578646589280406,0.2702479384149575,0.5521821631878558,FedLE-adapted,1.0
207,0.1,labelflip_mu0p4,10,17,Ironing,fedprox,0.4339499765959521,0.3397007842980879,0.605044567799098,FedProx,3.0
208,0.1,labelflip_mu0p4,10,17,Ironing,random_trimmed_mean,0.19784229136689407,0.2655174594510397,0.056182151416889856,Random Trimmed Mean,5.0
209,0.1,labelflip_mu0p4,10,17,Ironing,tea_fl,0.23182328773157565,0.28091620690035785,0.08176100628930814,TEA-FL,4.0
210,0.1,labelflip_mu0p4,11,24,Rope jumping,arl_fl,0.006252434748733921,0.013210120862014455,0.0,ARL-FL,3.0
211,0.1,labelflip_mu0p4,11,24,Rope jumping,fedavg,0.08541666666666667,0.2701112168060491,0.0,FedAvg,2.0
212,0.1,labelflip_mu0p4,11,24,Rope jumping,fedle_adapted,0.00497512437810945,0.015732724677454617,0.0,FedLE-adapted,4.0
213,0.1,labelflip_mu0p4,11,24,Rope jumping,fedprox,0.2004032916768766,0.3401232575574882,0.0,FedProx,1.0
214,0.1,labelflip_mu0p4,11,24,Rope jumping,random_trimmed_mean,0.0,0.0,0.0,Random Trimmed Mean,5.5
215,0.1,labelflip_mu0p4,11,24,Rope jumping,tea_fl,0.0,0.0,0.0,TEA-FL,5.5
216,0.1,signflip_mu0p2,0,1,Lying,arl_fl,0.4273136020888872,0.3755457972203806,0.3782823870070308,ARL-FL,1.0
217,0.1,signflip_mu0p2,0,1,Lying,fedavg,0.04946053804630844,0.11199137235676883,0.0,FedAvg,4.0
218,0.1,signflip_mu0p2,0,1,Lying,fedle_adapted,0.04362680683311432,0.1379600766328386,0.0,FedLE-adapted,5.0
219,0.1,signflip_mu0p2,0,1,Lying,fedprox,0.037868480725623585,0.11975065062315632,0.0,FedProx,6.0
220,0.1,signflip_mu0p2,0,1,Lying,random_trimmed_mean,0.11073907717435687,0.2656489525385578,0.0,Random Trimmed Mean,3.0
221,0.1,signflip_mu0p2,0,1,Lying,tea_fl,0.3763950460122709,0.37049621920040493,0.37962962962962965,TEA-FL,2.0
222,0.1,signflip_mu0p2,1,2,Sitting,arl_fl,0.13595889779190404,0.1712861416350416,0.0161290322580645,ARL-FL,2.0
223,0.1,signflip_mu0p2,1,2,Sitting,fedavg,0.0,0.0,0.0,FedAvg,5.5
224,0.1,signflip_mu0p2,1,2,Sitting,fedle_adapted,0.03209393346379647,0.10148992881949395,0.0,FedLE-adapted,4.0
225,0.1,signflip_mu0p2,1,2,Sitting,fedprox,0.0,0.0,0.0,FedProx,5.5
226,0.1,signflip_mu0p2,1,2,Sitting,random_trimmed_mean,0.2587663089088791,0.20231344818608424,0.3844926236352952,Random Trimmed Mean,1.0
227,0.1,signflip_mu0p2,1,2,Sitting,tea_fl,0.056756121635354796,0.13435835055576073,0.0,TEA-FL,3.0
228,0.1,signflip_mu0p2,2,3,Standing,arl_fl,0.1736392570707739,0.245570109527714,0.0,ARL-FL,2.0
229,0.1,signflip_mu0p2,2,3,Standing,fedavg,0.0,0.0,0.0,FedAvg,5.0
230,0.1,signflip_mu0p2,2,3,Standing,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,5.0
231,0.1,signflip_mu0p2,2,3,Standing,fedprox,0.0,0.0,0.0,FedProx,5.0
232,0.1,signflip_mu0p2,2,3,Standing,random_trimmed_mean,0.03791666666666666,0.11990302794805102,0.0,Random Trimmed Mean,3.0
233,0.1,signflip_mu0p2,2,3,Standing,tea_fl,0.31305091109957667,0.1955500699556696,0.35904961375258404,TEA-FL,1.0
234,0.1,signflip_mu0p2,3,4,Walking,arl_fl,0.596318322862623,0.34335598738590406,0.6641834412742866,ARL-FL,2.0
235,0.1,signflip_mu0p2,3,4,Walking,fedavg,0.06480998915393402,0.10437850944320881,0.0,FedAvg,5.0
236,0.1,signflip_mu0p2,3,4,Walking,fedle_adapted,0.035147058823529406,0.11114475893827097,0.0,FedLE-adapted,6.0
237,0.1,signflip_mu0p2,3,4,Walking,fedprox,0.06585450235448634,0.14954455512056,0.0,FedProx,4.0
238,0.1,signflip_mu0p2,3,4,Walking,random_trimmed_mean,0.5833919188343265,0.28254830435227707,0.6431005360945876,Random Trimmed Mean,3.0
239,0.1,signflip_mu0p2,3,4,Walking,tea_fl,0.6461638489084808,0.35369741594424886,0.7400276880479926,TEA-FL,1.0
240,0.1,signflip_mu0p2,4,5,Running,arl_fl,0.2572518178680193,0.4162560060029272,0.0,ARL-FL,3.0
241,0.1,signflip_mu0p2,4,5,Running,fedavg,0.0,0.0,0.0,FedAvg,6.0
242,0.1,signflip_mu0p2,4,5,Running,fedle_adapted,0.024064711830131442,0.07609930061881437,0.0,FedLE-adapted,5.0
243,0.1,signflip_mu0p2,4,5,Running,fedprox,0.03,0.09486832980505139,0.0,FedProx,4.0
244,0.1,signflip_mu0p2,4,5,Running,random_trimmed_mean,0.40086567796596906,0.40895404466879065,0.37832532616122067,Random Trimmed Mean,2.0
245,0.1,signflip_mu0p2,4,5,Running,tea_fl,0.6421512060833418,0.4450300095174962,0.9022357723577236,TEA-FL,1.0
246,0.1,signflip_mu0p2,5,6,Cycling,arl_fl,0.560854639669469,0.33178759093917376,0.6890784661118308,ARL-FL,2.0
247,0.1,signflip_mu0p2,5,6,Cycling,fedavg,0.055421686746987955,0.17525876188884995,0.0,FedAvg,5.0
248,0.1,signflip_mu0p2,5,6,Cycling,fedle_adapted,0.0234206471494607,0.0740625892674258,0.0,FedLE-adapted,6.0
249,0.1,signflip_mu0p2,5,6,Cycling,fedprox,0.05647058823529412,0.17857567963303786,0.0,FedProx,4.0
250,0.1,signflip_mu0p2,5,6,Cycling,random_trimmed_mean,0.48303937868039537,0.36972958070622064,0.5989959300343154,Random Trimmed Mean,3.0
251,0.1,signflip_mu0p2,5,6,Cycling,tea_fl,0.6826299029201115,0.2636447138342541,0.705224851542444,TEA-FL,1.0
252,0.1,signflip_mu0p2,6,7,Nordic walking,arl_fl,0.3950927933378566,0.35067559836720313,0.4537360890302067,ARL-FL,3.0
253,0.1,signflip_mu0p2,6,7,Nordic walking,fedavg,0.0,0.0,0.0,FedAvg,6.0
254,0.1,signflip_mu0p2,6,7,Nordic walking,fedle_adapted,0.07663978392234558,0.13459284643699682,0.0,FedLE-adapted,4.0
255,0.1,signflip_mu0p2,6,7,Nordic walking,fedprox,0.02037037037037037,0.06441676715157808,0.0,FedProx,5.0
256,0.1,signflip_mu0p2,6,7,Nordic walking,random_trimmed_mean,0.4236659062800724,0.27745736896152595,0.47837471475102883,Random Trimmed Mean,2.0
257,0.1,signflip_mu0p2,6,7,Nordic walking,tea_fl,0.622682646735409,0.3253143703282658,0.7089707057825724,TEA-FL,1.0
258,0.1,signflip_mu0p2,7,12,Ascending stairs,arl_fl,0.4368104433280239,0.2778048703034792,0.4727166417307262,ARL-FL,2.0
259,0.1,signflip_mu0p2,7,12,Ascending stairs,fedavg,0.01178762786166585,0.03727575225332428,0.0,FedAvg,6.0
260,0.1,signflip_mu0p2,7,12,Ascending stairs,fedle_adapted,0.02333932086392318,0.04506924267495759,0.0,FedLE-adapted,5.0
261,0.1,signflip_mu0p2,7,12,Ascending stairs,fedprox,0.02353932086392318,0.0450473484657992,0.0,FedProx,4.0
262,0.1,signflip_mu0p2,7,12,Ascending stairs,random_trimmed_mean,0.36412148239572295,0.31187912028756687,0.47481920134157846,Random Trimmed Mean,3.0
263,0.1,signflip_mu0p2,7,12,Ascending stairs,tea_fl,0.46188306670121626,0.2826290011074023,0.548898355549448,TEA-FL,1.0
264,0.1,signflip_mu0p2,8,13,Descending stairs,arl_fl,0.27677317741683016,0.2503067988037378,0.31848264729620657,ARL-FL,2.0
265,0.1,signflip_mu0p2,8,13,Descending stairs,fedavg,0.01428571428571428,0.045175395145262545,0.0,FedAvg,4.0
266,0.1,signflip_mu0p2,8,13,Descending stairs,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,6.0
267,0.1,signflip_mu0p2,8,13,Descending stairs,fedprox,0.01387066541705717,0.043862895380030006,0.0,FedProx,5.0
268,0.1,signflip_mu0p2,8,13,Descending stairs,random_trimmed_mean,0.24406747436081858,0.22599626575425197,0.2863120624446769,Random Trimmed Mean,3.0
269,0.1,signflip_mu0p2,8,13,Descending stairs,tea_fl,0.41032542789050896,0.2769054455016509,0.47122837234792136,TEA-FL,1.0
270,0.1,signflip_mu0p2,9,16,Vacuum cleaning,arl_fl,0.34609814569379915,0.2506576892493787,0.4361890881439706,ARL-FL,2.0
271,0.1,signflip_mu0p2,9,16,Vacuum cleaning,fedavg,0.0,0.0,0.0,FedAvg,5.5
272,0.1,signflip_mu0p2,9,16,Vacuum cleaning,fedle_adapted,0.01687203791469194,0.05335406857914421,0.0,FedLE-adapted,4.0
273,0.1,signflip_mu0p2,9,16,Vacuum cleaning,fedprox,0.0,0.0,0.0,FedProx,5.5
