index,alpha,scenario,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,method_label,rank_within_condition_activity
289,0.1,signflip_mu0p4,0,1,Lying,fedavg,0.01690013556258472,0.05344292114337883,0.0,FedAvg,3.5
290,0.1,signflip_mu0p4,0,1,Lying,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,6.0
291,0.1,signflip_mu0p4,0,1,Lying,fedprox,0.01690013556258472,0.05344292114337883,0.0,FedProx,3.5
292,0.1,signflip_mu0p4,0,1,Lying,random_trimmed_mean,0.04407962646755226,0.09665143588565336,0.0,Random Trimmed Mean,2.0
293,0.1,signflip_mu0p4,0,1,Lying,tea_fl,0.22725117391677835,0.3272939605130379,0.0,TEA-FL,1.0
294,0.1,signflip_mu0p4,1,2,Sitting,arl_fl,0.04139650872817955,0.13090725476008752,0.0,ARL-FL,2.0
295,0.1,signflip_mu0p4,1,2,Sitting,fedavg,0.03260686617304263,0.06880900672953075,0.0,FedAvg,3.0
296,0.1,signflip_mu0p4,1,2,Sitting,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,6.0
297,0.1,signflip_mu0p4,1,2,Sitting,fedprox,0.01695075757575757,0.053603002004748074,0.0,FedProx,5.0
298,0.1,signflip_mu0p4,1,2,Sitting,random_trimmed_mean,0.01728633510381458,0.05466419132497728,0.0,Random Trimmed Mean,4.0
299,0.1,signflip_mu0p4,1,2,Sitting,tea_fl,0.08254434717030626,0.17482826667837234,0.0,TEA-FL,1.0
300,0.1,signflip_mu0p4,2,3,Standing,arl_fl,0.017813383600377,0.05633086501148197,0.0,ARL-FL,3.0
301,0.1,signflip_mu0p4,2,3,Standing,fedavg,0.0,0.0,0.0,FedAvg,5.5
302,0.1,signflip_mu0p4,2,3,Standing,fedle_adapted,0.01755965781179649,0.0555285136184452,0.0,FedLE-adapted,4.0
303,0.1,signflip_mu0p4,2,3,Standing,fedprox,0.0,0.0,0.0,FedProx,5.5
304,0.1,signflip_mu0p4,2,3,Standing,random_trimmed_mean,0.026639344262295077,0.08424100324219042,0.0,Random Trimmed Mean,2.0
305,0.1,signflip_mu0p4,2,3,Standing,tea_fl,0.2050749074623993,0.1691741818242525,0.21433803240856864,TEA-FL,1.0
306,0.1,signflip_mu0p4,3,4,Walking,arl_fl,0.0,0.0,0.0,ARL-FL,4.5
307,0.1,signflip_mu0p4,3,4,Walking,fedavg,0.02209606986899563,0.06987390812424453,0.0,FedAvg,2.0
308,0.1,signflip_mu0p4,3,4,Walking,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,4.5
309,0.1,signflip_mu0p4,3,4,Walking,fedprox,0.0,0.0,0.0,FedProx,4.5
310,0.1,signflip_mu0p4,3,4,Walking,random_trimmed_mean,0.0,0.0,0.0,Random Trimmed Mean,4.5
311,0.1,signflip_mu0p4,3,4,Walking,tea_fl,0.5613037983631337,0.4022112824000067,0.6869143982248336,TEA-FL,1.0
312,0.1,signflip_mu0p4,4,5,Running,arl_fl,0.02288422477995937,0.07236627279193716,0.0,ARL-FL,3.0
