index,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,class_f1_min,class_f1_max,method_label,rank_within_activity
37,6,7,Nordic walking,fedavg,0.4350960832932891,0.4271658966796115,0.3500184111203166,0.0,0.9901477832512317,FedAvg,5.0
38,6,7,Nordic walking,fedle_adapted,0.3988701031173925,0.4037727884399571,0.2262292835075605,0.0,0.9852941176470588,FedLE-adapted,6.0
39,6,7,Nordic walking,fedprox,0.44357403979029364,0.4216641909986633,0.4166816983190318,0.0,0.9925925925925926,FedProx,4.0
40,6,7,Nordic walking,random_trimmed_mean,0.5283268108478837,0.38138511810131226,0.6587885154061625,0.0,0.9875930521091812,Random Trimmed Mean,3.0
41,6,7,Nordic walking,tea_fl,0.6531510453140625,0.32375241815610883,0.7580706179066834,0.0,0.9878345498783456,TEA-FL,1.0
42,7,12,Ascending stairs,arl_fl,0.47722840660852606,0.3402745067572898,0.5753662252431735,0.0,0.9282296650717704,ARL-FL,2.0
43,7,12,Ascending stairs,fedavg,0.38124417811512473,0.3664248421913518,0.35433400267737614,0.0,0.9282296650717704,FedAvg,5.0
44,7,12,Ascending stairs,fedle_adapted,0.35962828227821503,0.35400503269306116,0.280748987854251,0.0,0.925925925925926,FedLE-adapted,6.0
45,7,12,Ascending stairs,fedprox,0.39707825793712,0.3639119418255501,0.39838591342626556,0.0,0.9295774647887324,FedProx,4.0
46,7,12,Ascending stairs,random_trimmed_mean,0.4623143561476942,0.32916653814532165,0.5880077369439072,0.0,0.912442396313364,Random Trimmed Mean,3.0
47,7,12,Ascending stairs,tea_fl,0.5026096957085793,0.3471828590253769,0.6382139174929674,0.0,0.9142857142857144,TEA-FL,1.0
48,8,13,Descending stairs,arl_fl,0.42446452350080444,0.3253575804339705,0.4964114832535885,0.0,0.8903225806451613,ARL-FL,3.0
49,8,13,Descending stairs,fedavg,0.3872719577706292,0.36426682856332243,0.44125306942480835,0.0,0.8974358974358975,FedAvg,5.0
50,8,13,Descending stairs,fedle_adapted,0.3590497965581973,0.35679263786471876,0.3460351807901717,0.0,0.8990825688073395,FedLE-adapted,6.0
51,8,13,Descending stairs,fedprox,0.38748224318017566,0.3621367039970541,0.43307757885763,0.0,0.8961038961038961,FedProx,4.0
52,8,13,Descending stairs,random_trimmed_mean,0.42988913489101194,0.321406208361277,0.49519230769230765,0.0,0.8974358974358975,Random Trimmed Mean,2.0
53,8,13,Descending stairs,tea_fl,0.48212151646848583,0.31824467891237773,0.5364635364635364,0.0,0.8819875776397516,TEA-FL,1.0
54,9,16,Vacuum cleaning,arl_fl,0.4850582170905621,0.3346329497139644,0.6249759152215799,0.0,0.9157303370786516,ARL-FL,2.0
55,9,16,Vacuum cleaning,fedavg,0.37659019862037235,0.36154572177630034,0.31062963301912694,0.0,0.9171270718232044,FedAvg,6.0
56,9,16,Vacuum cleaning,fedle_adapted,0.3804099823741325,0.3574187244791041,0.24025644799895324,0.0,0.9261363636363636,FedLE-adapted,5.0
57,9,16,Vacuum cleaning,fedprox,0.3858898495113574,0.36179361310407976,0.3626766282280331,0.0,0.927536231884058,FedProx,4.0
58,9,16,Vacuum cleaning,random_trimmed_mean,0.4535995414064673,0.338634869856152,0.5536710393232599,0.0,0.9014925373134328,Random Trimmed Mean,3.0
59,9,16,Vacuum cleaning,tea_fl,0.5501337582116712,0.286748156179448,0.6633686832168394,0.0,0.9014084507042254,TEA-FL,1.0
60,10,17,Ironing,arl_fl,0.49392740840848653,0.3340773186852276,0.6610524076306645,0.0,0.8705882352941177,ARL-FL,2.0
61,10,17,Ironing,fedavg,0.39106549391490597,0.36520802203072467,0.2882373694833368,0.0,0.8747433264887063,FedAvg,5.0
62,10,17,Ironing,fedle_adapted,0.3889268306712064,0.3451247272135769,0.4773251084598698,0.0,0.888015717092338,FedLE-adapted,6.0
63,10,17,Ironing,fedprox,0.39593547111018695,0.36154238250376725,0.44919004618460057,0.0,0.8839103869653768,FedProx,4.0
64,10,17,Ironing,random_trimmed_mean,0.4374813979547404,0.35495542057866025,0.615198354009303,0.0,0.875,Random Trimmed Mean,3.0
65,10,17,Ironing,tea_fl,0.5934068718270591,0.27003533535073054,0.6886666034575393,0.0,0.9058823529411764,TEA-FL,1.0
66,11,24,Rope jumping,arl_fl,0.14206239555334862,0.29752284211964275,0.0,0.0,0.9649122807017544,ARL-FL,6.0
67,11,24,Rope jumping,fedavg,0.2546330585101536,0.3894451395690737,0.0,0.0,0.9649122807017544,FedAvg,2.0
68,11,24,Rope jumping,fedle_adapted,0.17610122983388712,0.33512842785120506,0.0,0.0,0.9649122807017544,FedLE-adapted,4.0
69,11,24,Rope jumping,fedprox,0.2750206799003999,0.3930985315657567,0.0,0.0,0.9649122807017544,FedProx,1.0
70,11,24,Rope jumping,random_trimmed_mean,0.17652104680224326,0.3178583989357899,0.0,0.0,0.9649122807017544,Random Trimmed Mean,3.0
71,11,24,Rope jumping,tea_fl,0.14698317094217891,0.3037688751282171,0.0,0.0,0.9649122807017544,TEA-FL,5.0
