run_id,condition_id,outer_fold,outer_test_subject,alpha,scenario,attack,malicious_count,method,fl_seed,model_seed,random_schedule_seed,early_stop_round,completed_training_rounds,loss,accuracy,balanced_accuracy,macro_f1,first_client_dropout_round,active_client_lifetime_75pct,active_client_lifetime_50pct,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_file_manifest_sha256,run_manifest_entries,class_00_f1,class_01_f1,class_02_f1,class_03_f1,class_04_f1,class_05_f1,class_06_f1,class_07_f1,class_08_f1,class_09_f1,class_10_f1,class_11_f1
103,18,1,101,0.1,labelflip_mu0p2,label_flip,6,fedavg,456,1039791761,2129548108,,100,2.0235324150286846,0.386128364389234,0.37208985805598616,0.28206858829699744,65,90,100,17,0.2155035920701447,0.07453468281374012,17.69360072629972,0.9615153481887455,5791,FF60D0F0C9C5115D9C2761DAC828743D80B76F22D34CAE1FA525FC162C09815B,E4B428B5D134205E953426AAEA01260951714669A228EA6CB66BE020CC76A4EA,11,0.45925925925925926,0.225140712945591,0.0,0.0,0.7749077490774908,0.6183745583038869,0.5720524017467249,0.47754137115839246,0.16129032258064516,0.0962566844919786,0.0,0.0
104,18,1,101,0.1,labelflip_mu0p2,label_flip,6,fedprox,456,1039791761,2129548108,,100,1.980789665850053,0.37111801242236025,0.35472683568199564,0.2531775895549976,65,90,100,17,0.2155035920701447,0.07453468281374012,17.69360072629972,0.9615153481887455,5791,79507A284F26FF031F21850A4500A5DAD03D280A7869F0D9321F10296E8CB70B,54A5EC976CC05C42C7BB909557A0690223A4A43A3AE9C7F104E98CE0B26FBC6D,11,0.46481178396072015,0.36721311475409835,0.0,0.0,0.4954954954954955,0.5700164744645799,0.575107296137339,0.4376470588235294,0.11666666666666667,0.0111731843575419,0.0,0.0
105,18,1,101,0.1,labelflip_mu0p2,label_flip,6,random_trimmed_mean,456,1039791761,2129548108,,100,1.9805416192080416,0.38250517598343686,0.38903333345205743,0.2952675936453118,65,90,100,17,0.2155035920701447,0.07453468281374012,17.69360072629972,0.9615153481887455,5791,DA6BBFBD0B83E98485BB171479B1B552E1A749399614BBBB602DF6C71E15C193,3DA12DF72BD89B047133A4FBCA9484BE73BE7C75ACD566BE51F1E6F35586C0D5,11,0.047151277013752456,0.45161290322580644,0.0,0.0,0.9595015576323987,0.7257383966244726,0.3854166666666667,0.5625,0.4112903225806452,0.0,0.0,0.0
106,18,1,101,0.1,labelflip_mu0p2,label_flip,6,fedle_adapted,456,1039791761,2129548108,,100,1.5922145280778779,0.4865424430641822,0.4647307935447544,0.4192477741254954,75,100,100,22,0.20936619459974073,0.07566609518735642,17.865447855471032,0.9407780234253728,5800,5D2A2DBBEC0B3802DE7E8232E224E1484D99CD5D3C410E639305444AFE3C7644,C44E5469EE4E053E2F32B2C886990957F44D3669085916D1DB26D262DFCF95B7,15,0.5498281786941581,0.0,0.4320388349514563,0.8721311475409836,0.9180327868852459,0.5,0.0,0.291497975708502,0.0,0.874251497005988,0.593192868719611,0.0
107,18,1,101,0.1,labelflip_mu0p2,label_flip,6,tea_fl,456,1039791761,2129548108,,100,1.166775367768408,0.6061076604554866,0.5848629138698959,0.5184853699643832,70,100,100,19,0.3368437823985559,0.0833977590487292,14.296075397104204,0.6194347657762292,4465,09DB5DA44D2F9B91BE2ECCB337F967574BDADE49CBB1BAD7DAD542415CEB29AA,310BCDB6CF593AEB0556F0F1F77094F98829EDC296F16C737F9E68FB603542E2,11,0.0,0.47305389221556887,0.21367521367521367,0.9024390243902439,0.7416267942583732,0.8952879581151832,0.8819875776397516,0.09448818897637795,0.5986394557823129,0.7046263345195729,0.716,0.0
108,18,1,101,0.1,labelflip_mu0p2,label_flip,6,arl_fl,456,1039791761,2129548108,,100,1.3681437663163212,0.5678053830227743,0.5638320366411921,0.48363793731072535,85,100,100,17,0.2463163886332857,0.06752092072673313,16.830842422531774,0.8556241243221853,5407,EA94FD5CD3069C8C07DDD65077C36C5EEAE68B642F5B5DF3ABE1D64ABF8F076B,082322001C08D8219BB0469F5C69703D59BA14FC0E28CFCAE360BAD3E0CF4337,11,0.0,0.460431654676259,0.0,0.9226190476190477,0.9194029850746268,0.870026525198939,0.7840531561461794,0.6914893617021277,0.5648414985590778,0.0111731843575419,0.5796178343949044,0.0
109,19,1,101,0.1,labelflip_mu0p4,label_flip,11,fedavg,123,466359210,904643126,,100,2.102092793269187,0.4135610766045549,0.41614357192728474,0.3431785903585158,45,100,100,20,0.25322524267724095,0.058712037064530376,17.449347940244163,0.9434963616421554,5662,DD332F945C92673D2488A735DB7E981ACBCE58C60785E8CD3396CD5F24922861,6C45A73B210038DB3953370B2B64F3A6765B3F315298CF2F10B4B9EE3DE543F0,11,0.0,0.0,0.4,0.34615384615384615,0.0,0.2670299727520436,0.5070422535211268,0.4533333333333333,0.5727699530516432,0.8541666666666666,0.7176470588235294,0.0
110,19,1,101,0.1,labelflip_mu0p4,label_flip,11,fedprox,123,466359210,904643126,,100,2.104570039310811,0.42650103519668736,0.4279954788768861,0.34433576345019495,45,100,100,20,0.25322524267724095,0.058712037064530376,17.449347940244163,0.9434963616421554,5662,E748BB7EA968BE974A3FB33B978681E5E92A6591249EAF4387AAE7B92AD24721,79A5C7B099B920940749E08389714A477CCAF17B3AB812C4839D9DA0494BB7BA,11,0.009389671361502348,0.0,0.40610687022900765,0.08888888888888889,0.0,0.3894230769230769,0.6060606060606061,0.41379310344827586,0.648936170212766,0.8489583333333334,0.7204724409448819,0.0
111,19,1,101,0.1,labelflip_mu0p4,label_flip,11,random_trimmed_mean,123,466359210,904643126,,100,1.9062090285322928,0.38405797101449274,0.391185800337371,0.33022410179996214,45,100,100,20,0.25322524267724095,0.058712037064530376,17.449347940244163,0.9434963616421554,5662,CE981C05D72DC94443EDA7C268261DC1F8B8339831AE820E3F26023014FC9BD0,1F6E1B4AA047EFDD10F37B713599C493F02717D3AE5E6B3B71A9D6CFF1819B52,11,0.03067484662576687,0.0,0.33034825870646767,0.901840490797546,0.0,0.6181818181818182,0.7376425855513308,0.2905982905982906,0.6416382252559727,0.4117647058823529,0.0,0.0
112,19,1,101,0.1,labelflip_mu0p4,label_flip,11,fedle_adapted,123,466359210,904643126,,100,2.0480092800922276,0.36542443064182195,0.3578256905315538,0.2853169869926848,55,100,100,22,0.24359236354959782,0.07544269872939724,17.71906855581817,0.9131898864220078,5748,6E864C95374CAA624A1395FED7BEB9473AD7BD7500D45FC4029A79AB263D78CB,D6E9424817174CF1A4F4017070423A2CF02F8EAB2BE4ED833442392D8D870DBD,15,0.0,0.4783861671469741,0.16501650165016502,0.0,0.0,0.5590551181102362,0.0,0.35514018691588783,0.3631578947368421,0.65234375,0.8507042253521127,0.0
113,19,1,101,0.1,labelflip_mu0p4,label_flip,11,tea_fl,123,466359210,904643126,,100,2.246808354158579,0.3581780538302277,0.38500302080983334,0.30129891784961016,70,100,100,21,0.3834615539253791,0.0903334244295626,13.802731225296293,0.5806020843614829,4327,A3E55890CA6F124B1CC5826979458CF8FC776C0ABDE80085D5E79A12CFECD196,B163CD312EE75A9F177256AD100FDCEC8E50408CB963D5F791BB4C1D260EDD2B,11,0.0,0.0,0.28865979381443296,0.9009584664536742,0.7948051948051948,0.26905829596412556,0.0,0.52,0.8421052631578947,0.0,0.0,0.0
114,19,1,101,0.1,labelflip_mu0p4,label_flip,11,arl_fl,123,466359210,904643126,,100,1.8924717710625312,0.2520703933747412,0.25377576094434756,0.14643198628493195,85,100,100,22,0.279598017034009,0.0745944601854133,16.710910258254657,0.867443751694226,5368,FB4585AD059F2AE9B98EA337F9EDC8F6FD9124B9750BFA12CEC15CCCF8FD70E2,5A84EB4B0B5DE1DA0FA24D3F3DDFCB225F10E6F0D93AED6E9249FD1682CBB081,11,0.05732484076433121,0.021164021164021163,0.35319148936170214,0.022988505747126436,0.0,0.596551724137931,0.0,0.37545126353790614,0.06837606837606838,0.2621359223300971,0.0,0.0
