run_id,condition_id,outer_fold,alpha,scenario,method,fl_seed,round,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,active_clients,mean_residual_energy,min_residual_energy,global_pressure,scientific_optimizer_steps_accounted
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456,70,3.075263412430641,0.10800196367206677,0.09107184246842083,0.08304020906775912,27,0.4143494727573098,0.07504943903448519,,4179
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456,75,2.3836886345550132,0.18114874815905743,0.22456512688571362,0.11796443791176468,27,0.38193786430456933,0.07504943903448519,,4484
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456,80,2.339079459976436,0.18654884634266078,0.15585935049250269,0.10315178275685662,24,0.352254903416611,0.06592552292017231,,4762
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456,85,2.6448626661043164,0.2611683848797251,0.298578275949321,0.18737719523685478,23,0.3236911332883708,0.06592552292017231,,5039
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456,90,3.024679920941986,0.3004418262150221,0.23457266113516115,0.12265678705796117,21,0.2941309642297341,0.06592552292017231,,5322
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456,95,2.144658345946741,0.18949435444280804,0.2616512156595876,0.12648674407246693,19,0.26799850152163046,0.06592552292017231,,5563
237,40,2,0.1,labelflip_mu0p4,random_trimmed_mean,456,100,3.085674275120626,0.2027491408934708,0.22619426019166566,0.11964419958365198,18,0.24180246255434495,0.06592552292017231,,5812
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,0,2.6101484695485135,0.08492881688757978,0.08333333333333333,0.01307634164777022,28,0.8425972487291816,0.6940976843146238,,214
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,5,1.7569770403334366,0.4177712322042219,0.35605300810440293,0.25984227295156354,28,0.8091133411791205,0.6388809879490998,,531
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,10,1.4157354446620876,0.4648993618065783,0.3825975911430717,0.3277675134694316,28,0.7768361737267669,0.5342446870229136,,836
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,15,1.309898809176423,0.49729995090819834,0.44810238093054705,0.3787217580109709,28,0.7443806676609909,0.49269431337180114,,1136
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,20,2.276206449252107,0.13696612665684832,0.15030304022463517,0.08858126701717513,28,0.7115250797079485,0.45114393972068856,,1436
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,25,2.8004676451797748,0.23073146784486992,0.2192977928926362,0.1171230075408437,28,0.6803785662054451,0.409593566069576,,1727
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,30,2.358105153971931,0.1482572410407462,0.16151306327515746,0.09501662092221924,28,0.6478061852899119,0.28994244511623823,,2032
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,35,3.020918431443564,0.16053019145802652,0.15516925770663198,0.10476949944396002,28,0.6159509767995054,0.28744244511623823,,2324
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,40,1.865083449836098,0.36720667648502703,0.32114132828139563,0.21636851733295315,28,0.5842709488104242,0.24589207146512565,,2627
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,45,1.9859200483686383,0.35689739813451155,0.29480710327342646,0.21139147073839004,28,0.5524778810882142,0.20434169781401307,,2927
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,50,2.1037323704290225,0.17280314187530682,0.20377215111695365,0.09917675289857909,28,0.5200947708808403,0.1237409505117879,,3233
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,55,2.319398799010451,0.2538046146293569,0.279243048596807,0.15285138403878512,27,0.4926509348890798,0.08419057686067533,,3491
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,60,2.7248450554523274,0.16102110947471773,0.14564581996312276,0.11610970161616123,27,0.4617828202486994,0.08419057686067533,,3777
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,65,2.754200606996895,0.15316642120765833,0.13973999632899484,0.09607379256272812,27,0.43313543730647325,0.08419057686067533,,4040
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,70,2.103279601725867,0.3711340206185567,0.34580735574624133,0.2248185453995157,27,0.40392415007522725,0.08419057686067533,,4315
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,75,2.2771176320405115,0.3495336278841433,0.312212096389389,0.21497491162352123,27,0.3747924232155885,0.08419057686067533,,4583
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,80,3.513228378169491,0.11389297987236131,0.11725987655389801,0.08077152508104272,27,0.3441228167327303,0.08419057686067533,,4864
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,85,2.7398109238230837,0.14334806087383406,0.14095330356757538,0.08158134419361082,24,0.31634544995492636,0.08419057686067533,,5115
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,90,2.183479734068708,0.25233186057928325,0.24727926489683386,0.15073792565692792,22,0.28835009966211056,0.06670901500707352,,5377
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,95,2.3217256976274165,0.2547864506627393,0.2019454374372381,0.1472374149575799,22,0.2618000994567954,0.06670901500707352,,5624
238,40,2,0.1,labelflip_mu0p4,fedle_adapted,456,100,2.6938841543071224,0.20913107511045656,0.1697829586648836,0.1298215655407782,20,0.23637832181731153,0.06670901500707352,,5857
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,0,2.6101484695485135,0.08492881688757978,0.08333333333333333,0.01307634164777022,28,0.8638462852478811,0.7116699164364653,,0
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,5,1.939112277609142,0.27147766323024053,0.23828305505509262,0.13950842892209908,28,0.832811188267102,0.7091699164364655,,280
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,10,1.9385863299690513,0.27147766323024053,0.23427739272957923,0.11407993936764137,28,0.8076218309634541,0.6890976843146244,,497
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,15,1.789415770555514,0.35346097201767307,0.30624733056798276,0.20630033003479212,28,0.7828553070668903,0.6690254521927832,,712
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,20,2.067239424265888,0.20520373097692685,0.2102894884109542,0.12167068057011082,28,0.7580240022282577,0.6215232906098755,,928
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,25,1.8465625398230423,0.30535100638193424,0.29204475765870047,0.16046768536195433,28,0.7339229541435115,0.5682358362615147,,1134
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,30,1.8690128183622365,0.4221894943544428,0.38727027754938265,0.29378816706581207,28,0.7109018113387534,0.5120882531699754,,1329
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,35,1.7655998783832563,0.41580756013745707,0.37251581051692,0.307128804760806,28,0.6868926709767206,0.44082724739962326,,1539
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,40,2.0731106321777735,0.42317133038782523,0.38476919908735874,0.3051482622919657,28,0.6626909497954397,0.36956624162927104,,1748
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,45,2.3046052571775637,0.37260677466863035,0.3461685195439957,0.2342564293103071,28,0.6398147332755925,0.2983052358589188,,1946
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,50,2.2686816085830412,0.36867943053510066,0.33869276979995583,0.22590587497515488,28,0.6174064434136273,0.22704423008856667,,2137
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,55,2.154300742601143,0.36573392243495334,0.33136719340810145,0.22992046665933888,28,0.5933964817893713,0.1557832243182146,,2351
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,60,2.3681222253648686,0.26804123711340205,0.2300946960869201,0.15255597004698898,27,0.5674201359108959,0.0987744197019329,,2580
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,65,2.3153672455922023,0.37211585665193914,0.3442459899219524,0.2424300084433559,27,0.54351998547338,0.0987744197019329,,2791
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,70,2.090877867938844,0.4182621502209131,0.39945309989153727,0.27442730861986986,25,0.5182817051252187,0.08653630300049187,,3012
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,75,2.266144768888598,0.3269513991163476,0.3182144966938494,0.20353207313460944,23,0.48921592137882197,0.08653630300049187,,3278
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,80,2.151753177933091,0.4010800196367207,0.3742629035795139,0.26241134360746754,23,0.4583741304528871,0.08653630300049187,,3566
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,85,1.9170120793578083,0.4482081492390771,0.4092914400527443,0.2928362813254874,23,0.4284616103165672,0.08653630300049187,,3844
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,90,2.017866702306838,0.3951890034364261,0.37108544015803496,0.2699727622119408,22,0.3992020842583813,0.08653630300049187,,4120
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,95,2.321074092979225,0.25282277859597446,0.26340326991735447,0.13363268286140104,21,0.3689326527200332,0.08653630300049187,,4420
239,40,2,0.1,labelflip_mu0p4,tea_fl,456,100,2.5704659864079678,0.36720667648502703,0.3589629948947539,0.2356048936274787,20,0.33916356758113336,0.08252996114204425,,4703
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,0,2.6101484695485135,0.08492881688757978,0.08333333333333333,0.01307634164777022,28,0.8638462852478811,0.7116699164364653,0.0,0
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,5,2.0531442305827525,0.24005891016200295,0.20105839749594465,0.1073569119178552,28,0.8365048798161955,0.6768611855989192,0.10246319236440098,242
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,10,1.8496831681837214,0.29995090819833087,0.27702627020294773,0.15014428673367797,28,0.8092920964708544,0.6494588735433904,0.15112504125898074,490
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,15,1.72140786222927,0.33775159548355427,0.3082035725842934,0.17693139725158555,28,0.7760982625410114,0.6234635614958425,0.1836132110176596,797
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,20,1.8131786350180954,0.23171330387825234,0.22228387222974347,0.13520540073834184,28,0.7444057203884514,0.5802393982295845,0.19123203854053986,1087
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,25,1.8647522090636577,0.3284241531664212,0.36290404682804905,0.2642190200579484,28,0.7135550925605958,0.5370152349633265,0.2011057499225697,1369
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,30,2.2128437034745514,0.23662248404516445,0.21895558145558147,0.13278091276450588,28,0.6850672800588965,0.49379107169706843,0.21776727437889812,1630
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,35,2.434790795962484,0.25724104074619536,0.2782618531827296,0.1633869518175062,28,0.6539025601956211,0.4505669084308102,0.21918157407807073,1915
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,40,2.0691827853403666,0.21747668139420717,0.20415229573466567,0.12137394279654769,28,0.6243521251875217,0.407342745164552,0.22528922681401944,2183
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,45,1.6703854143239145,0.3794796269023073,0.3235790703754297,0.2462521205550835,28,0.5927337197796799,0.32339441863203555,0.23276273833356262,2477
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,50,2.307788352844583,0.14629356897398135,0.11436570675701112,0.06612874072296508,28,0.5635237472495103,0.2394460920995191,0.22597449457739047,2744
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,55,2.377505958226597,0.2037309769268532,0.20904944782448465,0.11797241865288438,28,0.5317238270757156,0.23694609209951908,0.25304615181801243,3041
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,60,2.5239335445428397,0.15414825724104075,0.18978107639026962,0.08154372532293562,28,0.5007475063095964,0.19372192883326084,0.229829764821195,3328
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,65,2.109377741052874,0.36720667648502703,0.3298824783475491,0.2540386936864128,28,0.46910891473092375,0.1504977655670026,0.2738359418561375,3617
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,70,1.6302910051219417,0.36524300441826213,0.3424963771670908,0.24578209679731797,28,0.4407868724167339,0.1479977655670026,0.24068932558302264,3877
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,75,2.024478959405194,0.3328424153166421,0.2846867918132805,0.20586821091054833,28,0.40982646671848844,0.10477360230074434,0.23928791866340415,4162
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,80,2.4179509611883523,0.140893470790378,0.15944305436098577,0.10602536369026505,28,0.3823448027743407,0.10227360230074434,0.24108378562727906,4416
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,85,1.8740261099651039,0.21404025527736867,0.2365679004114306,0.12750159864147523,26,0.35432658424404156,0.06004943903448609,0.24547265478962388,4671
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,90,2.4231032084529165,0.23269513991163476,0.18496382487014637,0.13328129215628334,26,0.32449180132762573,0.06004943903448609,0.2458975637510042,4948
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,95,2.9403592873040987,0.1634756995581738,0.19026996126006426,0.0922837322147896,25,0.2954980529748944,0.06004943903448609,0.2566523380872205,5222
240,40,2,0.1,labelflip_mu0p4,arl_fl,456,100,2.2181376378560804,0.28276877761413843,0.24992443506480558,0.15622248293577676,23,0.2680922694820437,0.06004943903448609,0.24036314657796018,5475
241,41,3,1.0,clean,fedavg,123,0,2.618964747337012,0.045562411010915994,0.08333333333333333,0.007262823422605538,28,0.8108801333317406,0.7010304836997105,,0
241,41,3,1.0,clean,fedavg,123,5,1.6295006298939652,0.36639772187944947,0.2996430711994221,0.22956120213011502,28,0.7785197719759436,0.6526424257036048,,291
241,41,3,1.0,clean,fedavg,123,10,1.163032982549681,0.668248694826768,0.5940181608151044,0.5427473598520082,28,0.7446031503860558,0.5877868131189998,,600
