alpha,scenario,method,n_runs,n_outer_folds,n_fl_seeds,early_stop_count,loss_mean,loss_std,loss_median,loss_min,loss_max,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_min,macro_f1_max,final_active_clients_mean,final_active_clients_std,final_active_clients_median,final_active_clients_min,final_active_clients_max,final_mean_residual_energy_mean,final_mean_residual_energy_std,final_mean_residual_energy_median,final_mean_residual_energy_min,final_mean_residual_energy_max,final_min_residual_energy_mean,final_min_residual_energy_std,final_min_residual_energy_median,final_min_residual_energy_min,final_min_residual_energy_max,total_normalized_energy_consumed_mean,total_normalized_energy_consumed_std,total_normalized_energy_consumed_median,total_normalized_energy_consumed_min,total_normalized_energy_consumed_max,jain_participation_fairness_mean,jain_participation_fairness_std,jain_participation_fairness_median,jain_participation_fairness_min,jain_participation_fairness_max,scientific_optimizer_steps_accounted_mean,scientific_optimizer_steps_accounted_std,scientific_optimizer_steps_accounted_median,scientific_optimizer_steps_accounted_min,scientific_optimizer_steps_accounted_max
1.0,signflip_mu0p2,tea_fl,10,5,2,1,0.8184265826703381,0.20942742161137395,0.760618885773078,0.5899568402699343,1.200603859518379,0.7477424065408691,0.04636381306912332,0.7455428076184973,0.6666666666666666,0.8149062191510366,0.7265031438427518,0.03504431356632828,0.7326590102553007,0.6683419862882441,0.7775564286901074,0.7103086502344619,0.047549226840130694,0.7204257875085636,0.6178839659184975,0.7723438210441992,14.5,1.0801234497346435,14.5,13.0,16.0,0.2774257266358583,0.019833979056540163,0.28110028873159154,0.24948100235565343,0.3045316134110469,0.07860328269693179,0.0035479213378363707,0.07834720607866195,0.0725702359301284,0.08512777828149386,15.924063361089143,0.20067868134825897,15.926246853499624,15.686250375464153,16.2330449207642,0.7462837520006861,0.025322219446581296,0.7522327752937016,0.703037120359955,0.7702750844895483,5426.7,165.8486927560446,5458.0,5075.0,5615.0
1.0,signflip_mu0p2,arl_fl,10,5,2,0,0.987166421415117,0.23953394516626206,0.9318597645699622,0.7139965995984393,1.360315938051799,0.7126228029081239,0.052388215289276445,0.7177436284491058,0.6423395445134575,0.7826293308020883,0.690501915578867,0.056523358695379486,0.6884632181321608,0.6032681300775299,0.7787709368035763,0.6679049029240931,0.06939531520051727,0.6719356605973115,0.5747212538573877,0.7768363372001917,24.7,1.1595018087284057,25.0,23.0,26.0,0.26011440946314945,0.03310322324025713,0.2629855651740433,0.1910691185315963,0.3042501228294799,0.0830572105455471,0.00879597411389023,0.08076884572859444,0.07182858967161598,0.09838659791262933,16.40878024192499,0.46314823175455944,16.40620562106588,15.55905249374382,17.354708414404037,0.8594762160412056,0.024576457129038935,0.8589375463188713,0.8231468905626209,0.8996749924089923,5586.9,56.84960666335149,5610.0,5460.0,5640.0
1.0,signflip_mu0p4,fedavg,10,5,2,1,167.261125633833,28.14383512814889,162.38877165730224,139.9594431855483,236.42423170891362,0.09292071825891922,0.02537562121462624,0.09596620741948868,0.051257712387280496,0.12420225822287678,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.014095122820905729,0.0035884697938834043,0.014593457684183778,0.008126410835214447,0.01841339155749636,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,signflip_mu0p4,fedprox,10,5,2,1,168.80017405442564,27.425366923888976,167.26756469317365,139.9472572047995,228.99496936995544,0.08702970205862468,0.024113308134695505,0.09420289855072464,0.051257712387280496,0.12197437114380635,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.013275289041500177,0.003425075115238899,0.014348785871964679,0.008126410835214447,0.0181190073322053,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,signflip_mu0p4,random_trimmed_mean,10,5,2,1,38.16180422808084,13.929437178724633,40.151521879180265,9.166221320233076,57.03076051826556,0.09238529071204192,0.03438876658176078,0.0944616977225673,0.043928923988154,0.15106052767718572,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.013959430450736504,0.00479938070087741,0.014384794827235294,0.0070133963750985025,0.02187265917602996,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,signflip_mu0p4,fedle_adapted,10,5,2,0,153.4680712228948,23.308298995330425,149.52768517124798,121.39880428333038,198.84225310337843,0.09193887961941885,0.02295005279481872,0.09340253566956822,0.05225038799793068,0.11817750355956336,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.013971514832633813,0.00324953899742414,0.014237208592547995,0.008275975090134382,0.01761460101867572,21.4,2.756809750418044,21.5,16.0,25.0,0.22697983284650447,0.03328385286895785,0.223248676757993,0.15900463179040764,0.2701642703163318,0.07951123344089633,0.0029174351667062177,0.07992693834313036,0.0744176579573751,0.0827338390358747,17.33654838719105,0.4834336019331841,17.266516733370874,16.63188258787428,18.25251404315732,0.9193718020884261,0.022043128664219907,0.9197717122982952,0.8702841477742483,0.9553265425538267,5954.6,69.01400823987355,5940.5,5851.0,6065.0
1.0,signflip_mu0p4,tea_fl,10,5,2,3,1.9390095612885923,1.5524248535800567,1.3624195812192879,0.6359919265780491,4.651798570951648,0.576625760623792,0.20939731822495986,0.5986863944955152,0.19710294878427315,0.7976307996051333,0.5461892819726262,0.217994351214481,0.5766410753026963,0.186699966765985,0.7955706810654838,0.5042871888298414,0.2512249132697768,0.5347471231474197,0.10096514672905503,0.7862155825663927,14.5,1.509230856356236,14.5,13.0,18.0,0.2766732594531401,0.026527174835778582,0.27170582188853737,0.24516735704266848,0.3208335462835147,0.07886289086349291,0.002915418140698204,0.07877343318262528,0.07488794917151598,0.08278613606001956,15.945132442205255,0.4008032556079713,15.932379251546404,15.094716637030846,16.487510926507113,0.763860690251766,0.039811932865879314,0.7693657503611215,0.6769678609508014,0.8214390478984201,5487.2,168.41074127791782,5516.0,5111.0,5675.0
1.0,signflip_mu0p4,arl_fl,10,5,2,0,14.177074579422044,6.960817689867112,14.22780199818624,3.685116369491159,25.226992905602454,0.11023015948384621,0.05974404201949282,0.09551151097446056,0.03485517918507609,0.21547223540579022,0.09850259338202869,0.03300081854834456,0.08333333333333333,0.08333333333333333,0.1764600879508862,0.025281854764371864,0.027745989788840474,0.014530515826505922,0.005613535736875396,0.09374478424110426,23.6,1.837873166945363,23.0,21.0,26.0,0.25495516040976873,0.030688384706980563,0.25487865271216953,0.18950100012587495,0.2914736103199212,0.08337334002193866,0.007256656074607804,0.08207074107319927,0.07508150004592287,0.09765311627815842,16.55323921541965,0.3777338304288485,16.50825346234722,15.960797364311953,17.398615729764234,0.8859541983760675,0.014947767182557773,0.8896306498032034,0.8541533205210335,0.9006676198732311,5655.7,67.89051643802853,5668.5,5538.0,5779.0
1.0,labelflip_mu0p2,fedavg,10,5,2,1,0.7889692282295335,0.23627091364581973,0.7241299255641405,0.5129529419829669,1.2210005760544003,0.746384638344464,0.0791794302775841,0.7665631469979296,0.6011846001974334,0.8422141748577341,0.7428702821142903,0.05622732198318065,0.7590643898677476,0.6327271929707503,0.8120930353066855,0.7355379061240309,0.06688288433330053,0.751470740563922,0.6026162210888506,0.814507822017216,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,labelflip_mu0p2,fedprox,10,5,2,1,0.7898212501349209,0.20921803178288198,0.7509718496957488,0.5060709836380628,1.126576446380812,0.7450826460105306,0.06880650414367263,0.7562395534553559,0.6021717670286278,0.8230729436109674,0.7413606298550954,0.055721955785638363,0.7587667547514327,0.6314096505318331,0.8126876403301543,0.7326352000217633,0.06480240205964462,0.7527457292980747,0.6064305276654048,0.8137800079188054,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
